C1,C2
5.35E-01,4.65E-01
8.43E-01,1.57E-01
8.75E-01,1.25E-01
6.54E-02,9.35E-01
9.62E-01,3.79E-02
7.38E-01,2.62E-01
6.88E-01,3.12E-01
8.36E-01,1.64E-01
8.66E-01,1.34E-01
8.37E-01,1.63E-01
6.86E-01,3.14E-01
6.35E-01,3.65E-01
7.74E-02,9.23E-01
6.39E-01,3.61E-01
5.32E-01,4.68E-01
7.57E-01,2.43E-01
8.82E-01,1.18E-01
1.69E-01,8.31E-01
8.44E-01,1.56E-01
6.67E-01,3.33E-01
7.80E-01,2.20E-01
7.37E-01,2.63E-01
1.52E-01,8.48E-01
2.60E-02,9.74E-01
5.82E-01,4.18E-01
1.37E-01,8.63E-01
8.28E-01,1.72E-01
4.33E-01,5.67E-01
8.39E-01,1.61E-01
5.25E-01,4.75E-01
5.56E-01,4.44E-01
9.73E-01,2.69E-02
7.85E-01,2.15E-01
8.12E-01,1.88E-01
9.99E-01,1.06E-03
6.30E-01,3.70E-01
2.68E-01,7.32E-01
2.11E-01,7.89E-01
7.14E-01,2.86E-01
7.43E-01,2.57E-01
3.82E-01,6.18E-01
7.94E-01,2.06E-01
2.60E-01,7.40E-01
9.06E-01,9.40E-02
7.83E-01,2.17E-01
6.66E-01,3.34E-01
4.70E-01,5.30E-01
5.58E-01,4.42E-01
4.36E-01,5.64E-01
6.79E-01,3.21E-01
5.34E-01,4.66E-01
5.76E-01,4.24E-01
3.47E-01,6.53E-01
4.50E-01,5.50E-01
4.69E-01,5.31E-01
6.64E-01,3.36E-01
5.77E-01,4.23E-01
3.36E-01,6.64E-01
2.66E-01,7.34E-01
1.80E-01,8.20E-01
5.81E-01,4.19E-01
5.37E-01,4.63E-01
1.41E-01,8.59E-01
6.05E-01,3.95E-01
9.07E-01,9.27E-02
4.69E-01,5.31E-01
9.83E-01,1.69E-02
6.86E-01,3.14E-01
4.39E-03,9.96E-01
4.15E-01,5.85E-01
5.50E-01,4.50E-01
5.30E-02,9.47E-01
8.96E-01,1.04E-01
3.14E-01,6.86E-01
9.42E-01,5.77E-02
8.88E-01,1.12E-01
4.08E-01,5.92E-01
2.46E-01,7.54E-01
4.48E-01,5.52E-01
7.42E-01,2.58E-01
6.40E-01,3.60E-01
1.13E-01,8.87E-01
4.77E-01,5.23E-01
4.69E-02,9.53E-01
6.24E-01,3.76E-01
9.35E-01,6.52E-02
9.44E-01,5.62E-02
6.44E-01,3.56E-01
6.91E-01,3.09E-01
8.43E-01,1.57E-01
3.89E-01,6.11E-01
7.02E-01,2.98E-01
8.78E-01,1.22E-01
4.42E-01,5.58E-01
5.90E-01,4.10E-01
8.70E-01,1.30E-01
2.59E-01,7.41E-01
5.01E-01,4.99E-01
9.35E-01,6.50E-02
4.57E-01,5.43E-01
2.38E-01,7.62E-01
6.93E-01,3.07E-01
8.11E-01,1.89E-01
4.35E-01,5.65E-01
2.72E-01,7.28E-01
3.12E-01,6.88E-01
9.53E-01,4.68E-02
4.26E-01,5.74E-01
8.96E-01,1.04E-01
5.65E-01,4.35E-01
8.82E-01,1.18E-01
5.87E-01,4.13E-01
8.29E-01,1.71E-01
4.88E-01,5.12E-01
1.59E-01,8.41E-01
6.82E-01,3.18E-01
2.77E-01,7.23E-01
1.78E-01,8.22E-01
3.52E-01,6.48E-01
8.28E-01,1.72E-01
6.67E-01,3.33E-01
3.52E-01,6.48E-01
2.80E-01,7.20E-01
4.97E-01,5.03E-01
6.22E-01,3.78E-01
5.96E-01,4.04E-01
3.37E-01,6.63E-01
8.00E-01,2.00E-01
7.86E-03,9.92E-01
1.97E-01,8.03E-01
1.05E-01,8.95E-01
9.70E-01,2.97E-02
4.05E-01,5.95E-01
9.76E-01,2.41E-02
2.75E-01,7.25E-01
4.38E-01,5.62E-01
6.83E-01,3.17E-01
7.35E-01,2.65E-01
2.98E-02,9.70E-01
4.71E-02,9.53E-01
3.76E-02,9.62E-01
7.48E-01,2.52E-01
2.68E-01,7.32E-01
2.30E-01,7.70E-01
1.79E-01,8.21E-01
8.76E-01,1.24E-01
7.17E-01,2.83E-01
5.53E-02,9.45E-01
7.76E-01,2.24E-01
3.65E-01,6.35E-01
