id,dim1,dim2,dim3,dim4,dim5,dim6,dim7,dim8,dim9,dim10,dim11,dim12
1,0.428603493,0.250768149,0.221238315,0.082602084,0.161240089,0.094420385,0.081153805,0.078977304,0.090611609,0.101276462,0.081807385,0.095165044
2,0.472920616,0.231079325,0.61966288,0.096277892,0.716423466,0.093197582,0.032343128,0.089215102,0.106583561,0.069128539,0.113127296,0.065224291
3,0.735549133,0.247334288,0.178303165,0.114285819,0.244306749,0.097627721,0.056425573,0.084150371,0.091936112,0.068813363,0.095230204,0.091144731
4,0.653583483,0.23524466,0.093056813,0.098060804,0.758212216,0.112014829,0.031993327,0.073750068,0.059550708,0.059436886,0.092854973,0.122355057
5,0.261337894,0.244357598,0.906077483,0.103618996,0.134065382,0.102369615,0.032370036,0.089675532,0.090949227,0.13849346,0.09909686,0.060701439
6,0.092763609,0.24416457,0.79454825,0.082099394,0.45458269,0.103055676,0.050156065,0.049320189,0.100272692,0.093134422,0.072720745,0.08146424
7,0.726627634,0.232430519,0.464357221,0.083704527,0.583725153,0.114456399,0.0211495,0.095606955,0.081288144,0.060933971,0.084679758,0.052211172
8,0.940403182,0.242254612,0.89425955,0.092073487,0.578226106,0.113921675,0.0731622,0.035101024,0.072613946,0.038398907,0.050156047,0.116165891
9,0.913368335,0.238455015,0.707776583,0.097131033,0.557962769,0.101754178,0.092051448,0.068143654,0.074665628,0.07897778,0.069737896,0.03517774
10,0.926895772,0.226172359,0.45132745,0.087749541,0.191139279,0.103176746,0.059681412,0.084746222,0.108219712,0.130509009,0.076449305,0.085114262
11,0.375184638,0.23225781,0,0.093142213,0.588412865,0.099231894,0.059412335,0.12959753,0.128191144,0.11348952,0.085204518,0.109394837
12,0.829460181,0.227371162,0.397896374,0.092306441,0.472442072,0.105840278,0.081234528,0.099371648,0.048591092,0.07677155,0.042201784,0.084135633
13,0.477846966,0.23664665,0.768438631,0.116196448,0.483961023,0.10102776,0.093719729,0.05313905,0.113829373,0.074696643,0.04366559,0.042662928
14,0.304513546,0.24024306,0.514313023,0.079603317,0.33066883,0.095973103,0.048407061,0.07152917,0.036930269,0.101565373,0.028640871,0.036156369
15,0.465280768,0.23822135,0.00734816,0.081902201,0.353245973,0.097385582,0.04625444,0.077325172,0.082404882,0.082208331,0.051619853,0.079321837
16,0.428473325,0.253673723,0.678151631,0.0851094,0.233468918,0.089576591,0.053169734,0.079843995,0.091312817,0.045464096,0.049658906,0.032188955
17,0.024615769,0.23900362,0.9232235,0.105049413,0.701689225,0.095767285,0.09358519,0.079004388,0.077392546,0.089641225,0.04151131,0.031289674
18,0.860199803,0.242427321,0.983164454,0.090319183,0.737387956,0.0849255,0.129076526,0.092708954,0.047006882,0.108840679,0.069378849,0.075407321
19,0.844079024,0.241452023,0.170751707,0.098265149,0.649022579,0.104256283,0.055053277,0.06240182,0.013998182,0.095130535,0.057861739,0.079745028
20,0.54277065,0.22505483,0.832806302,0.094737128,0.050915585,0.088637293,0.090625336,0.078571042,0.085858979,0.099017702,0.051757947,0.092652349
21,0.472700332,0.233029921,0.376133351,0.093173887,0.159166678,0.098243159,0.091836186,0.056118303,0.056148552,0.092451542,0.066561715,0.063002539
22,0.104225382,0.245282099,0.29575138,0.097723634,0.147186969,0.08015233,0.017463136,0.07645848,0.027528892,0.086410674,0.069572182,0.066599661
23,0.887535037,0.248969943,0.517537917,0.083633006,0.591497941,0.084751967,0.085270692,0.075402199,0.047734061,0.083495299,0.080150247,0.091885315
24,0.486167691,0.239176329,0.159013896,0.109207839,0.88709425,0.10826167,0.055672156,0.088619251,0.096325153,0.05951568,0.094650206,0.10138066
25,0.192639344,0.256426907,0.395332484,0.104262683,0.901307633,0.102642022,0.064417178,0.086669195,0.069263732,0.072070179,0.067279808,0.086172239
26,0.055127097,0.242559393,0.317073735,0.10591788,0.270770286,0.077913551,0,0.091138075,0.062485392,0.066974838,0.08757975,0.067789886
27,0.757817837,0.245078912,0.542485772,0.112589754,0.889838765,0.095952925,0.041653213,0.030171713,0.079444228,0.040920313,0.061203635,0.053798138
28,0.242433527,0.239724934,0.234528481,0.094407111,0.567508474,0.108574433,0.115811,0.108661503,0.058537852,0.073409676,0.102134946,0.055861193
29,0.222688076,0.241218358,0.966008422,0.081130798,0.722373254,0.075403374,0.081826499,0.054493256,0.090455785,0.126937017,0.041483691,0.132088447
30,0.821630088,0.235092269,0.185494077,0.089024656,0.894847004,0.106354824,0.026235066,0.049753534,0.08907934,0.074118821,0.037810368,0.068477571
31,0.802345231,0.225064989,0.339247381,0.091420604,0.435541364,0.099484122,0.056883005,0.097448676,0.109206597,0.078872722,0.095092109,0.002988785
32,0.115770263,0.237835294,0.97558295,0.09043566,0.932879575,0.100957136,0.080884727,0.06364769,0.08152188,0.057414509,0.077968349,0.064510157
33,0.903836049,0.243727718,0.276011427,0.084531103,0.694878019,0.109300851,0.090490798,0.086587942,0.08588495,0.07858381,0.088794984,0.031712865
34,0.833905911,0.232176535,0.574734707,0.100032736,0.60361788,0.083218418,0.048729954,0.043849196,0.1153097,0.086226821,7.46E-04,0.017324376
35,0.141994065,0.229210005,0.91509116,0.10363943,0.90362144,0.097466295,0.092777957,0.093575646,0.082950266,0.099280349,0.078686442,0.047820567
36,0.391505675,0.240273539,0.435944107,0.096773429,0.909541179,0.106092506,0.067134862,0.109419858,0.132372419,0.096706414,0.066368382,0.086251587
37,0.623885203,0.246470743,0.963524653,0.100809248,0.238066482,0.087753484,0.100204499,0.117978441,0.086923776,0.129694805,0.075316928,0.050730004
38,0.491734867,0.250940858,0.820327367,0.096209436,0.561428471,0.09717371,0.071224841,0.096256974,0.080483054,0.096864002,0.100256856,0.068662717
39,0.602898152,0.243748037,0.997486186,0.103046829,0.675175605,0.078102217,0.066085459,0.138887384,0.036151149,0.074171351,0.115336813,0.109315489
40,0.539075887,0.243189272,0.411336768,0.101861626,0.493516744,0.097829504,0.05142073,0.060180922,0.062589274,0.121815412,0.054961748,0.053639441
41,0.077604069,0.220290094,0.048489187,0.110709777,0.974918737,0.079788112,0.040926703,0.057337089,0.116919881,0,0.06399315,0.051629285
42,0.087989455,0.235214181,0.388802575,0.107021345,0.903941967,0.098021198,0.103702508,0.045582579,0.027139333,0.142669538,0.107244455,0.081331993
43,0.012104642,0.246165962,0.631270494,0.119527276,0.664478006,0.102490685,0.081557421,0.079654407,0.050850539,0.096049798,0.077830254,0.040652772
44,0.505853064,0.235833902,0.134005949,0.105417234,0.930726032,0.099645548,0.084490367,0.09793619,0.088715751,0.066633398,0.082055956,0.042371985
45,0.803426625,0.247100623,0.214928741,0.096855167,0.779377036,0.098939309,0.09334302,0.096988245,0.083080119,0.115380575,0.047891292,0.055781845
46,0.724024278,0.234035697,0.325386348,0.098367322,0.207375991,0.10919996,0.064551717,0.122582742,0.056356317,0.073357147,0.092634021,0.088711384
47,0.733266191,0.244936681,0.967160169,0.090711526,0.475166555,0.109250405,0.04864923,0.041059531,0.063550188,0.044544834,0.052586516,0.027639653
48,0.941955183,0.234360796,0.112933975,0.098265149,0.525940086,0.097950574,0.058632009,0.090596392,0.089728607,0.090429164,0.104537797,0.077840669
49,0.868780864,0.232247651,0.938857223,0.111997152,0.544630836,0.0933015,0.087746206,0.093548562,0.065809635,0.079240427,0.057088408,0.043826703
50,0.350312579,0.245779907,0.278385029,0.094533805,0.132452729,0.097143443,0.076068238,0.114999187,0.11650435,0.146136471,0.068384567,0.06850402
51,0.067304793,0.224414791,0.886287454,0.101779888,0.875605348,0.095864141,0.006350231,0.036103136,0.070562265,0.125072228,0.041152263,0.075354422
52,0.363449512,0.238414377,0.327920193,0.087351068,0.668735009,0.084136529,0.067054138,0.10378636,0.017841839,0.089693754,0.051398901,0.09445091
53,0.2793411,0.234970357,0.225074135,0.106745479,0.539492382,0.105144127,0.041841567,0.059178809,0.101129723,0.096443767,0.093573066,0.069191705
54,0.659180698,0.248147036,0.054009564,0.095116189,0.237445461,0.095606868,0.063932838,0.090650561,0.070432411,0.051977728,0.051978899,0.070805121
55,0.116671425,0.238180712,0.013970809,0.092274768,0.872380042,0.100815888,0.031724249,0.076620985,0.087521101,0.121001208,0.052172232,0.098286077
56,0.826756696,0.238292465,0.391676937,0.07458664,0.150392242,0.100936958,0.110617802,0.073885488,0.095649916,0.102904869,0.026431353,0.059008675
57,0.649057649,0.242803217,0.740516262,0.098367322,0.606793104,0.107434361,0.130529545,0.072856292,0.081781587,0.036297736,0.123705361,0.074111299
58,0.58401381,0.237967366,0.255490288,0.104661157,0.823379427,0.091401716,0.112043913,0.065651915,0.092741202,0.057519567,0.030822769,0.109474185
59,0.511520369,0.228082317,0.2499619,0.10894219,0.130459449,0.101310256,0.053008288,0.125805753,0.104843527,0.06206335,0.05330461,0.059431866
60,0.547316509,0.237977525,0.480952402,0.087063963,0.42915085,0.097425939,0.084920891,0.056334976,0.059472796,0.093502127,0.083105477,0.071148963
61,0.416788263,0.252302211,0.050763638,0.105590928,0.993469256,0.099928044,0.07676784,0.082389903,0.100688222,0.052765667,0.075427404,0.026661024
62,0.405653912,0.23491956,0.070920224,0.096936905,0.34170699,0.08753455,0.131498224,0.05359948,0.090689521,0.078925251,0.067776949,0.030522641
63,0.097880204,0.228112795,0.683569852,0.109718702,0.386240255,0.092048429,0.016171564,0.119007638,0.066458901,0.055024426,0.073300743,0.033564325
64,0.898719453,0.262481881,0.849611802,0.106704609,0.197429627,0.098959487,0.037078894,0.077541845,0.039657187,0.090718075,0.114314911,0.023116801
65,0.71452203,0.232247651,0.077428099,0.092373875,0.876236387,0.092405585,0.062049295,0.044201289,0.09783145,0.112832904,0.055624603,0.027904147
66,0.731634087,0.235041473,0.670009275,0.08569485,0.590947034,0.093288384,0.024539877,0.040572017,0.12125698,0.120239534,0.059822686,0.123333686
67,0.349831959,0.235447847,0.143620538,0.114684293,0.272533186,0.088623168,0.08397912,0.067710308,0.100973899,0.127987603,0.10845969,0.032294752
68,0.346948242,0.222159415,0.858234887,0.080435002,0.35607062,0.096114351,0.058605102,0.086750447,0.050123361,0.024636235,0.081973099,0.071334109
69,0.034358327,0.242020947,0.380229567,0.105723752,0.759043583,0.085817379,0.095899257,0.10023834,0.077626282,0.109786206,0.056756981,0.060913034
70,0.479949676,0.244306801,0.462584531,0.087498197,0.830380946,0.089537244,0.105908944,0.086100428,0.130944033,0.074328938,0.103571133,0.109077444
71,0.87731186,0.245180505,0.610719309,0.109596095,0.345072526,0.088748273,0.066731245,0.071556254,0.060589534,0.108578032,0.071836938,0.081146847
72,0.195503036,0.239034098,0.945657541,0.090955719,0.214267328,0.098142267,0.045339576,0.10719896,0.050045449,0.100015759,0.109150164,0.049301735
73,0.527621123,0.221783519,0.357274735,0.097652114,0.575181096,0.083836882,0.088849424,0.0834191,0.054434489,0.053212166,0.105090176,0.092520102
74,0.35786231,0.249203608,0.630479293,0.105662449,0.249655548,0.104710295,0.061215154,0.063728942,0.043085314,0.10947103,0.100643522,0.058268091
75,0.859859364,0.250524324,0.636628624,0.091413452,0.858306889,0.096003371,0.067457755,0.06765614,0.099909103,0.055392131,0.060761731,0.065991325
76,0.335203103,0.225583116,0.91200648,0.089278044,0.158796068,0.104135214,0.073915617,0.089458859,0.090196078,0.108893208,0.067307427,0.023407744
77,0.809494446,0.235681512,0.221388543,0.096226805,0.688136929,0.092120062,0.039635131,0.095715292,0.094585119,0.088406787,0.106415886,0.061971011
78,0.294360459,0.245210983,0.912417103,0.101861626,0.744008848,0.098212891,0.032962006,0.079681491,0.093208674,0.08593791,0.11166349,0.065382988
79,0.395741134,0.2339849,0.8103322,0.107705901,0.939189957,0.112367948,0.060381014,0.107280212,0.04453967,0.076640227,0.06374458,0.098233178
80,0.201390624,0.212853449,0.912176738,0.095230622,0.711665638,0.100926869,0.090625336,0.089242186,0.067939229,0.080396071,0.060209352,0.060807237
81,0.413694275,0.245221143,0.587774493,0.105243541,0.729785448,0.1103703,0.039204607,0.113347056,0.078535255,0.112281347,0.06294363,0.061521371
82,0.016219947,0.246927914,0.693344684,0.096998209,0.620105004,0.108251581,0.065089872,0.065787335,0.054824049,0.080606188,0.09666639,0.065647482
83,0.173014048,0.249762373,0.347349675,0.100175778,0.490982575,0.087838233,0.091378754,0.122203564,0.074094273,0.085360088,0.082691192,0.047794118
84,0.49508919,0.240852622,0.900288699,0.085762284,0.879692072,0.091300825,0.098294048,0.068820757,0.092299701,0.072569207,0.091943547,0.060833686
85,0.982727737,0.240558,0.846296772,0.094937387,0.022663105,0.081148127,0.076202777,0.066951953,0.045188937,0.090140253,0.099428287,0.032982438
86,0.369717591,0.227614987,0.4617733,0.091722014,0.821185818,0.101078206,0.090410074,0.044201289,0.119932476,0.067290014,0.049299859,0.063187685
87,0.325190197,0.244601422,0.062325182,0.083577832,0.977102329,0.100351788,0.075234098,0.090921402,0.047266589,0.109103325,0.068798851,0.015816758
88,0.006963315,0.239237285,0.083858857,0.103189871,0.958241299,0.107313291,0.072247336,0.065137317,0.0588495,0.044124599,0.062115061,0.093181337
89,0.535461228,0.234939879,0.409604139,0.096334087,0.644314834,0.09452733,0.057797869,0.037403174,0.04134528,0.101276462,0.051205568,0.090086754
90,0.665248519,0.224099851,0.016795095,0.106500264,0.420025838,0.106536428,0.059923582,0.112724121,0.107284768,0.130115039,0.115999669,0.077496826
91,0.570496387,0.256304995,0.570858825,0.080970387,0.122626563,0.103529866,0.082418469,0.124749472,0.104220231,0.055759836,0.118181567,0.096804909
92,0.175146797,0.228092476,0.30690831,0.097754286,0.575040866,0.097082908,0.065439673,0.087265045,0.052226984,0.120659768,0.037589416,0.071995345
93,0.872956246,0.250402412,0.520983145,0.089762342,0.239328559,0.09729478,0.0700409,0.073181301,0.064926633,0.085018648,0.05275223,0.086330935
94,0.750027796,0.230449446,0.787347323,0.107092866,0.430753487,0.102409972,0.053923151,0.089621364,0.10180496,0.072858118,0.093876875,0.074693187
95,0.816203093,0.231404425,0.666353728,0.089801168,0.535946549,0.104246194,0.063233236,0.073885488,0.063991689,0.095997268,0.115861574,0.015684511
96,0.684633505,0.235173544,0.55022752,0.098980358,0.715542015,0.094594927,0.059654504,0.073695899,0.129567589,0.121473972,0.031237054,0.014203343
97,0.857245996,0.25247492,0.817473035,0.104681591,0.27127111,0.108271759,0.057394253,0.028627918,0.068952084,0.057939801,0.122683459,0.062632247
98,0.950516217,0.236412985,0.524698783,0.098428626,0.088667694,0.103671114,0.02666559,0.042007475,0.074068303,0.090297841,0.073328362,0.039727042
99,0.342712783,0.231109803,0.569346531,0.093219864,0.306639297,0.081912884,0.071009579,0.062455988,0.13161927,0.078688869,0.121357749,0.084082734
100,0.393227895,0.234015378,0.426800232,0.10517202,0.747374385,0.094988404,0.084113658,0.089377607,0.0870796,0.120134475,0.057254122,0.030496191
101,0.735068514,0.260409373,0.988442463,0.09792798,0.526040251,0.10009956,0.047976536,0.089838037,0.095961563,0.104900982,0.077747397,0.058030047
102,0.560213132,0.238008003,0.91813578,0.086285407,0.723655363,0.100815888,0.065601119,0.061345539,0.072536034,0.083889268,0.066478858,0.096487516
103,0.897127401,0.248533091,0.37455095,0.088182753,0.163674093,0.102621843,0.071063395,0.075050106,0.077496429,0.129931187,0.057613169,0.051285442
104,0.351403986,0.241523139,0.730851597,0.103149002,0.965473197,0.091934422,0.086051017,0.066626943,0.09938969,0.05250302,0.084707377,0.038960008
105,0.262889895,0.251357391,0.327038855,0.111138902,0.490020993,0.087305527,0.049671725,0.058014192,0.089131282,0.100120817,0.073825503,0.070514177
106,0.875809924,0.238871548,0.940209274,0.105315062,0.72633978,0.085132327,0.091863093,0.071718758,0.045033113,0.123259967,0.070759798,0.084479475
