id,col1,col2,col3,col4
1,5.4,2.3,1.5,0.2
2,4.8,2.9,1.9,0.6
3,5.7,2.3,1,0.1
4,5.7,2.9,1.7,0.4
5,5.5,2.6,1.4,0.2
6,5.5,2,1.1,0.1
7,5.1,2.3,1.5,0.2
8,6.9,2.8,1.6,0.4
9,5.5,2.5,1.3,0.2
10,5.7,2.7,1.5,0.2
11,6.3,2.2,1.5,0.2
12,6.6,2.8,1.3,0.2
13,5.6,2.7,1.5,0.2
14,6.7,2.5,1.4,0.2
15,5.6,2.6,1.5,0.2
16,5.6,2.5,1.3,0.2
17,6.3,2.6,1.5,0.2
18,6.6,2.8,1.5,0.3
19,6,2.8,1.4,0.2
20,5.7,2.5,1.4,0.2
21,5.5,2.2,1.4,0.2
22,5.5,2.4,1.3,0.1
23,5.8,2.3,1.2,0.1
24,6,2.2,1.5,0.2
25,5.4,2.4,1.2,0.1
26,5.6,2.6,1.4,0.2
27,5.5,2.4,1.3,0.1
28,5.5,2.7,1.5,0.2
29,6.1,2.8,1.4,0.2
30,5.8,2.8,1.4,0.2
31,5.7,2.8,1.3,0.2
32,5.7,2.8,1.3,0.2
33,6.3,2.7,1.6,0.3
34,6.3,2.5,1.4,0.2
35,6.5,2.7,1.7,0.4
36,7.6,2.8,1.7,0.4
37,6.5,2.7,1.6,0.3
38,5.7,2.9,1.6,0.4
39,6.5,2.5,1.4,0.2
40,5.6,2.8,1.9,0.5
41,6.7,2.8,1.5,0.3
42,6.2,2.7,1.6,0.3
43,7.4,2.6,1.5,0.2
44,6.4,2.5,1.4,0.2
45,6.3,2.8,1.5,0.2
46,6.1,2.5,1.4,0.2
47,5.8,2.7,1.6,0.3
48,6.7,2.8,1.5,0.3
49,6.3,2.8,1.7,0.4
50,6.5,2.7,1.6,0.4
51,4.7,3,3.9,1.1
52,4.6,3.2,4.5,1.5
53,4.4,3.1,4.8,1.6
54,4.9,3.3,4.9,1.5
55,4.3,3,3,1
56,5.8,2.9,3.3,1
57,5.1,3,4.2,1.3
58,4.8,3,3.9,1.1
59,5,3.1,4.5,1.4
60,4.7,3.2,4.7,1.5
61,4.4,3,3.8,1.1
62,5,3,4,1.2
63,4.5,3.1,4.2,1.3
64,4.4,3.1,4.7,1.5
65,5,3.2,4.8,1.6
66,7,3,4.6,1.5
67,6.4,3,4.3,1.3
68,6.5,2.9,4.1,1.3
69,5.9,3.1,4.5,1.4
70,6.1,3.1,4.5,1.4
71,5.8,2.9,3.3,1
72,5.9,3,4,1.2
73,6.1,3,4.1,1.3
74,6.4,3,4.3,1.3
75,6.7,3,4.5,1.4
76,6,3,4,1.2
77,6.7,3.2,4.5,1.5
78,5.6,3,4.4,1.3
79,5.7,3,4.7,1.5
80,5.8,2.9,3.5,1
81,4.9,3.1,4.5,1.4
82,7.3,3,4.7,1.5
83,7.2,3.2,4.9,1.5
84,6.4,3.1,4.6,1.5
85,6.8,3,3.9,1.2
86,5.8,3,3.6,1
87,6,2.9,3.7,1
88,7.7,3.1,4.9,1.4
89,6.3,3,4.2,1.3
90,6.1,3.1,4.5,1.4
91,6.4,2.9,4,1.2
92,6.3,3,4.2,1.3
93,6.4,3,4.4,1.3
94,6,3,4,1.3
95,6.9,3,4.4,1.4
96,6.7,3,4.6,1.5
97,6.8,3,4.4,1.3
98,6.7,3.1,4.7,1.5
99,6.2,3,4.1,1.3
100,5.9,2.9,3.5,1
101,5.1,3.4,5.1,1.8
102,4.9,3.6,5.6,2.1
103,5,3.5,5.5,2
104,4.6,4,5.6,2.1
105,5,3.7,6.7,2.5
106,5.4,3.9,5.6,2.1
107,4.8,3.2,5.1,1.8
108,5.4,3.3,5.1,1.8
109,5.1,3.5,5.6,2.1
110,5.4,3.8,5.9,2.3
111,5.1,3.4,6.1,2.3
112,4.6,4.1,5.7,2.2
113,5.1,3.8,5.4,2
114,5,3.7,5.1,1.8
115,5.2,3.7,5.2,1.9
116,5.2,3.4,4.9,1.6
117,4.8,3.5,6.7,2.5
118,5.4,3.5,5.9,2.3
119,5.2,3.9,5.1,1.8
120,4.9,3.4,6,2.3
121,5,3.4,6.3,2.4
122,4.9,3.5,5.4,1.9
123,5.1,3.4,5.3,1.9
124,5.1,3.5,5.7,2.1
125,4.8,3.2,5,1.7
126,4.6,3.6,6.6,2.4
127,5.3,3.4,5,1.8
128,5,3.4,5,1.8
129,4.9,4.2,6,2.3
130,5.2,4.4,6.1,2.3
131,5,3.8,5.3,1.9
132,6,3.2,5.6,2
133,6.2,3.3,5.5,2
134,6.1,3.2,5,1.8
135,6.8,3.3,5.5,2
136,6.3,3.2,5.1,1.8
137,5,3.4,5.1,1.8
138,6.2,3.4,5.1,1.8
139,5.1,3.8,5.7,2.1
140,7.1,3.2,4.8,1.6
141,6.7,3.8,6.1,2.3
142,6.4,3.2,5.8,2.2
143,7.7,3.4,6.4,2.4
144,7.7,3.3,5.8,2.2
145,6.9,3.1,4.9,1.8
146,7.2,3.2,4.8,1.7
147,7.2,3.4,5.2,1.9
148,7.9,3.6,5.8,2.3
149,7.7,3.3,5.6,2
150,6.9,3.8,6.9,2.5
