C1,C2,C3,C4,C5,C6,C7,C8
0.221908086,0.688523248,0.067136871,0.016282235,0.001668292,0.001235693,0.000625326,0.002620249
0.601838825,0.316436243,0.043327834,0.019211519,0.012398959,0.002988014,5.86678E-05,0.003739938
0.470463475,0.321350739,0.153775555,0.035230864,0.010192805,0.004764059,0.002636418,0.001586084
0.457343231,0.500697715,0.028110781,0.004001254,0.000247044,0.008666896,0.000683621,0.000249457
0.999031946,0.000790823,0.000150304,5.27956E-07,5.83348E-06,1.63642E-05,3.18613E-06,1.01507E-06
0.644275392,0.017607714,0.224827896,0.009883977,0.080854499,0.004169396,0.008766491,0.009614635
0.065815502,0.462646767,0.427697518,0.028190936,0.003189616,0.002013776,0.002179631,0.008266254
0.566104273,0.173716908,0.033830677,0.115505806,0.024647544,0.014740464,0.024140971,0.047313358
0.004047322,0.170889491,0.548304065,0.216283327,0.052442747,0.007218514,0.000356902,0.000457632
0.649037554,0.039488901,0.084038878,0.002378718,0.055118164,0.091586548,0.075301554,0.003049683
0.589378801,0.330900392,0.015525469,0.013704054,0.026386202,0.011730059,0.008527295,0.003847727
0.996282533,0.00066509,0.002047954,5.14722E-05,0.000559126,0.000178451,0.00019526,2.01127E-05
0.515988951,0.320027896,0.143228454,0.020109587,0.00027531,0.000210517,0.000130403,2.88824E-05
0.475461893,0.13378022,0.181201991,0.083135096,0.102021896,0.02436878,4.07948E-06,2.60449E-05
0.521564845,0.207779702,0.00010591,0.168340403,0.066726711,0.007183274,0.011208218,0.017090937
0.51708528,0.416400329,0.015037864,0.011681296,0.007551501,0.023458727,0.001731845,0.007053159
0.3766505,0.059261614,0.500589133,0.020715418,0.042349879,0.000331606,2.93633E-05,7.2487E-05
0.17441732,0.542561511,0.143111631,0.087587103,0.002331515,0.046947997,0.002353467,0.000689455
0.265929925,0.423602774,0.076974586,0.177108145,0.053862884,0.000259977,0.000117484,0.002144225
0.356074837,0.376698154,0.229842878,0.035848127,0.000426355,0.000110157,0.00052989,0.000469601
0.927224444,0.022865329,0.005481733,0.035440146,0.006813867,0.000379899,0.001777852,1.67304E-05
0.028339634,0.132515949,0.652595136,0.084199606,0.047270355,0.004159625,0.030558408,0.020361288
0.23649684,0.423437703,0.192296023,0.02496215,0.05074437,0.002680389,0.041153633,0.028228891
0.542289017,0.442968201,0.01285665,0.001017692,0.000240256,4.88082E-05,0.00038613,0.000193245
0.457861544,0.528351331,0.013683406,7.30691E-05,2.82327E-05,6.13185E-07,1.75386E-06,4.99558E-08
0.214426156,0.564947359,0.017082971,0.141362133,0.006066928,0.006916417,0.033582424,0.015615612
0.387189811,0.092488166,0.092173911,0.14816407,0.230023384,0.010456492,0.02000638,0.019497787
0.505356902,0.185443191,0.092802671,0.18071421,0.031100682,0.002655355,0.000176203,0.001750786
0.524164057,0.403400723,0.015179825,0.021260697,0.015691556,0.01580572,0.004335342,0.00016208
0.052376007,0.653271833,0.143320774,0.054056356,0.089918633,0.00287278,0.002382236,0.001801382
0.856919705,0.03174469,0.082839464,0.013096824,0.008113213,0.004136662,0.000616348,0.002533094
0.959006551,0.022162743,0.009530389,0.007678828,0.001373415,0.000193848,3.99578E-05,1.42684E-05
0.286466538,0.174770649,0.224495719,0.278618726,0.001872468,0.006924262,0.010923394,0.015928244
0.625615362,0.105177422,0.231208238,0.003665927,0.028165234,0.000479829,0.005045325,0.000642662
0.394459481,0.350212423,0.252303399,0.001933517,0.000381474,0.000600644,9.99862E-06,9.90629E-05
0.401846524,0.13852544,0.285347611,0.026487549,0.110353686,0.029941743,0.006892976,0.00060447
0.894310542,0.052973562,0.049996306,0.001557444,0.00032738,0.000779525,6.16573E-06,4.90756E-05
0.773918442,0.148156981,0.065364527,0.001867808,0.001634123,0.006240413,0.000302632,0.002515074
0.577226061,0.090104212,0.017705348,0.220548458,0.082766067,0.006500955,0.004983534,0.000165364
0.809805294,0.032301478,0.120984434,0.024392066,0.008635756,0.00100137,0.000241263,0.002638339
