C1,C2,C3,C4,C5,C6,C7
4.97E-01,4.88E-02,2.81E-02,1.98E-01,1.52E-01,2.08E-02,5.56E-02
8.34E-01,1.52E-02,1.25E-02,8.83E-02,4.92E-02,1.70E-04,5.37E-04
9.76E-01,1.87E-02,2.23E-03,1.55E-03,6.67E-04,3.10E-04,6.90E-04
4.19E-01,1.33E-01,5.29E-02,2.73E-01,6.30E-02,2.50E-02,3.49E-02
5.34E-01,2.81E-01,9.44E-02,1.24E-02,3.08E-03,1.61E-02,5.85E-02
2.53E-01,2.16E-01,3.57E-02,4.45E-01,5.06E-02,3.82E-04,6.79E-05
1.10E-01,5.09E-01,1.83E-01,5.68E-02,1.34E-01,4.03E-03,3.40E-03
3.30E-01,4.12E-01,1.49E-01,8.99E-02,8.96E-03,1.30E-03,8.99E-03
8.33E-01,6.62E-02,7.44E-02,1.25E-02,1.13E-02,2.25E-03,3.84E-04
1.96E-01,3.62E-01,3.30E-01,5.52E-02,3.60E-02,9.11E-03,1.14E-02
1.32E-01,1.25E-01,5.88E-01,3.48E-02,4.75E-02,3.55E-03,6.86E-02
9.33E-01,4.83E-02,1.15E-02,1.89E-03,3.19E-03,1.63E-03,4.61E-04
7.42E-01,4.64E-02,9.87E-02,9.48E-02,1.37E-02,3.62E-03,5.99E-04
2.07E-01,2.47E-01,4.85E-01,4.24E-02,9.68E-03,7.00E-03,2.20E-03
9.85E-01,1.30E-03,1.10E-02,2.49E-04,1.05E-03,3.27E-04,8.18E-04
9.11E-01,1.40E-02,4.69E-02,2.29E-02,3.56E-03,5.06E-04,1.33E-03
9.69E-01,7.33E-03,2.17E-02,2.27E-03,3.78E-06,4.12E-07,3.37E-08
4.33E-01,1.08E-01,3.26E-01,4.19E-02,7.63E-02,1.03E-02,4.66E-03
1.50E-01,4.02E-01,9.76E-03,3.00E-01,2.93E-02,9.57E-03,9.89E-02
3.07E-01,5.08E-01,4.95E-02,4.86E-02,4.52E-03,4.73E-02,3.56E-02
4.79E-01,1.57E-01,2.81E-01,2.47E-02,5.19E-02,2.88E-03,3.35E-03
2.05E-01,6.12E-01,9.22E-02,1.61E-02,3.79E-03,1.31E-02,5.79E-02
7.45E-01,1.63E-01,4.24E-02,4.33E-02,1.23E-03,3.35E-03,1.22E-03
2.51E-01,6.27E-01,8.75E-03,6.75E-02,8.93E-03,5.12E-03,3.15E-02
6.23E-01,6.08E-02,1.50E-01,3.14E-02,7.03E-02,4.99E-02,1.46E-02
1.63E-01,3.49E-01,5.33E-02,7.68E-02,3.28E-01,2.95E-02,3.13E-04
1.11E-01,5.68E-02,5.60E-01,9.68E-02,1.54E-01,2.14E-02,6.86E-04
7.34E-01,1.84E-01,9.61E-03,4.82E-02,2.44E-03,8.70E-03,1.26E-02
6.91E-01,3.04E-01,4.17E-03,2.07E-04,4.22E-04,2.54E-04,3.79E-04
8.25E-01,1.66E-01,5.02E-03,7.86E-04,2.13E-04,2.60E-03,4.34E-04
1.23E-01,4.07E-01,3.84E-01,7.27E-02,5.08E-03,1.63E-03,6.65E-03
6.54E-01,3.98E-02,2.19E-01,3.44E-02,4.47E-02,2.96E-03,4.39E-03
