C1,C2,C3
0.591643393,0.237903537,0.17045307
0.367490932,0.311148793,0.321360275
0.528982824,0.255681902,0.215335274
0.269056935,0.300328954,0.430614112
0.457702978,0.282598216,0.259698806
0.409755144,0.303528076,0.28671678
0.74469164,0.162171832,0.093136529
0.755612327,0.139192536,0.105195137
0.767922747,0.133432571,0.098644682
0.749667565,0.147111851,0.103220583
0.445018477,0.401485112,0.153496411
0.360312801,0.445126542,0.194560657
0.402970937,0.444123983,0.15290508
0.376032988,0.40549371,0.218473302
0.364953373,0.417340034,0.217706593
0.316921544,0.430229445,0.252849011
0.505726107,0.257856485,0.236417408
0.474427006,0.213805814,0.311767179
0.244728772,0.424819785,0.330451443
0.231561502,0.50028875,0.268149747
0.295596034,0.54876401,0.155639956
0.187236407,0.627951552,0.184812041
0.189710302,0.658107616,0.152182081
0.240347223,0.602112253,0.157540525
0.198496408,0.589124366,0.212379226
0.174266598,0.694049732,0.13168367
0.210228679,0.672642404,0.117128917
0.233855543,0.563942982,0.202201475
0.271911689,0.519549606,0.208538704
0.256818062,0.53772236,0.205459579
0.215077654,0.504236814,0.280685532
0.253254772,0.516303345,0.230441883
0.283131343,0.497736134,0.219132523
0.277362853,0.561070542,0.161566605
0.169324437,0.683845077,0.146830486
0.175707781,0.694551018,0.129741202
0.216077022,0.666886547,0.11703643
0.256250955,0.614923424,0.128825622
0.172707593,0.71558271,0.111709697
0.290233169,0.463995164,0.245771668
0.300849259,0.590495698,0.108655044
0.204071386,0.691171642,0.104756972
0.259411636,0.566569368,0.174018996
0.294030998,0.464393144,0.241575858
0.23390738,0.590364476,0.175728145
0.266320931,0.6174022,0.116276869
0.137521248,0.778982196,0.083496556
0.259337445,0.554037,0.186625555
0.272308151,0.512299731,0.215392118
0.187332126,0.65529845,0.157369424
0.241428212,0.653411129,0.105160659
0.126040669,0.792434644,0.081524687
0.260966943,0.540638722,0.198394335
0.276978288,0.561738265,0.161283447
0.204714329,0.622222638,0.173063032
0.23858318,0.603826207,0.157590613
0.178339957,0.708585256,0.113074787
0.319968157,0.421489359,0.258542484
0.242797454,0.502768257,0.25443429
0.238657794,0.432006416,0.32933579
0.132565467,0.791834295,0.075600238
0.148811574,0.723321164,0.127867262
0.199117032,0.68026168,0.120621288
0.135354524,0.760331432,0.104314044
0.216498983,0.607015275,0.176485742
0.14236127,0.750825577,0.106813153
0.14830364,0.69554848,0.15614788
0.175088747,0.703897176,0.121014077
0.146753413,0.713725008,0.139521579
0.17261799,0.63368418,0.19369783
0.14965056,0.700144086,0.150205355
0.133625093,0.752365116,0.114009791
0.166823902,0.707050701,0.126125397
0.197343902,0.670156555,0.132499542
0.172288218,0.700709738,0.127002043
0.212902183,0.637583212,0.149514606
0.195268103,0.651677904,0.153053993
0.225453511,0.605889174,0.168657315
0.205201489,0.593808925,0.200989585
0.281742631,0.441386401,0.276870968
0.304339958,0.523033169,0.172626874
0.244285377,0.58491933,0.170795293
0.226049043,0.596420297,0.17753066
0.24597805,0.573508311,0.180513639
0.262521234,0.505244356,0.232234409
0.171536512,0.742136465,0.086327024
0.125422359,0.787295204,0.087282436
0.183176844,0.701113095,0.115710062
0.187331062,0.648500424,0.164168514
0.731867196,0.157627851,0.110504954
0.669904648,0.187768021,0.142327331
0.706029754,0.161045748,0.132924498
0.750561486,0.133946378,0.115492136
0.699615491,0.163231828,0.137152681
0.750909155,0.14620096,0.102889884
0.775803576,0.126725159,0.097471264
0.630013945,0.209246447,0.160739609
0.725042726,0.159907321,0.115049953
0.741117482,0.152009853,0.106872666
0.723139174,0.160522597,0.116338229
0.76261743,0.137025355,0.100357215
0.356115507,0.409372025,0.234512468
0.276980049,0.368493015,0.354526936
0.289620622,0.415437613,0.294941765
0.308222325,0.36245605,0.329321625
0.299504837,0.380436733,0.32005843
0.274203785,0.494354181,0.231442034
0.28036889,0.393670217,0.325960893
0.423332533,0.341280657,0.23538681
0.274491567,0.384056557,0.341451875
0.292664795,0.36928504,0.338050165
0.284040835,0.38830765,0.327651515
0.404261326,0.328303484,0.267435189
0.343386972,0.346631988,0.30998104
0.281295289,0.547350736,0.171353975
0.823264183,0.1012951,0.075440717
0.792409173,0.118788867,0.088801961
0.371016201,0.298914239,0.33006956
0.557718528,0.204291147,0.237990326
0.836116988,0.092167126,0.071715886
0.324578109,0.242795489,0.432626402
0.825759964,0.099568129,0.074671907
0.818564578,0.104831375,0.076604047
0.811209567,0.105673283,0.08311715
0.825783652,0.094719665,0.079496683
0.833217209,0.088794685,0.077988106
0.457424927,0.256314955,0.286260118
0.235733673,0.211893009,0.552373318
0.223940538,0.184543077,0.591516385
0.678660069,0.163749675,0.157590256
0.792886784,0.1175448,0.089568415
0.217754396,0.640268303,0.141977301
0.234598092,0.578598724,0.186803184
0.226655726,0.552395539,0.220948735
0.206458991,0.655635733,0.137905276
0.124808969,0.775226092,0.099964939
0.241870007,0.557149538,0.200980455
0.232821768,0.566817945,0.200360286
0.213033636,0.632448492,0.154517872
0.236308175,0.55727358,0.206418245
0.231600989,0.616902349,0.151496662
0.232957526,0.577096497,0.189945977
0.239925997,0.569795665,0.190278339
0.235866717,0.601913337,0.162219946
0.247629391,0.547233665,0.205136944
0.212168506,0.629564012,0.158267482
0.218278483,0.583876111,0.197845406
