C1,C2,C3,C4
0.450005845,0.268134925,0.115460828,0.166398402
0.259840511,0.300953138,0.220332204,0.218874147
0.397523649,0.273170364,0.14817922,0.181126767
0.195153793,0.261332589,0.322172637,0.221340981
0.327876819,0.3096269,0.169600856,0.192895425
0.300859737,0.276575896,0.203617624,0.218946743
0.677686058,0.156751744,0.058898572,0.106663626
0.706686402,0.139742611,0.064789897,0.08878109
0.730990992,0.129040488,0.058143358,0.081825162
0.709933401,0.13603797,0.062081606,0.091947023
0.322913472,0.287221156,0.103006197,0.286859175
0.265711184,0.274328231,0.133774604,0.326185981
0.296023565,0.266423963,0.103320335,0.334232138
0.270607068,0.291448589,0.149240569,0.288703774
0.265678405,0.286698663,0.149264059,0.298358873
0.20684984,0.349499484,0.161217611,0.282433066
0.378202644,0.26579158,0.167807777,0.188197999
0.341258605,0.295101447,0.214473382,0.149166567
0.167919792,0.309076281,0.227438953,0.295564974
0.160567017,0.301566638,0.184595531,0.353270813
0.203251105,0.31767135,0.104454869,0.374622676
0.133718403,0.276778132,0.130052351,0.459451114
0.138329843,0.270082364,0.108257766,0.483330027
0.168402353,0.319831155,0.106534748,0.405231744
0.140544353,0.279425009,0.148705496,0.431325142
0.128788627,0.226040274,0.094890066,0.550281032
0.156531103,0.269895304,0.0838087,0.489764893
0.163070521,0.308730887,0.137605455,0.390593137
0.184863828,0.333676443,0.137207538,0.344252191
0.181724063,0.299168827,0.141496606,0.377610504
0.146187564,0.314553651,0.189880703,0.349378082
0.178964673,0.289780938,0.16014537,0.371109019
0.195811255,0.318358705,0.146917995,0.338912044
0.200864727,0.268461511,0.112609128,0.418064635
0.123004586,0.220315055,0.104923968,0.551756391
0.129250359,0.218953372,0.093022162,0.558774107
0.160586625,0.263572162,0.083535796,0.492305417
0.181215337,0.325529643,0.087117228,0.406137791
0.130684057,0.280612316,0.08163191,0.507071717
0.198758287,0.324836476,0.163514064,0.312891174
0.220752551,0.28271536,0.075326604,0.421205485
0.152727669,0.254565609,0.075285013,0.517421709
0.179525276,0.324083467,0.116320604,0.380070652
0.202241032,0.321836522,0.160678121,0.315244325
0.164939344,0.305578492,0.120199602,0.409282562
0.194729288,0.281508533,0.081027493,0.442734686
0.109977233,0.218561921,0.06448212,0.606978726
0.177170251,0.333198742,0.123229981,0.366401027
0.187251889,0.323394313,0.142606021,0.346747777
0.13583759,0.290844703,0.110601371,0.462716335
0.180182608,0.252552137,0.074606172,0.492659083
0.102728519,0.209609502,0.064256609,0.62340537
0.176916612,0.337779382,0.130077145,0.355226862
0.196202157,0.297412564,0.110504124,0.395881155
0.1480925,0.266494912,0.122310864,0.463101723
0.168871096,0.311306405,0.107446814,0.412375685
0.13423848,0.228295507,0.082206209,0.555259803
0.215574905,0.320055139,0.173243253,0.291126703
0.166486474,0.312373403,0.171979848,0.349160274
0.168105278,0.279143811,0.235230362,0.317520549
0.104431769,0.201258188,0.057382761,0.636927282
0.106783349,0.210486743,0.089657857,0.593072051
0.148378139,0.231513359,0.086647549,0.533460953
0.099462499,0.185974852,0.074938463,0.639624186
0.151686107,0.284684343,0.120187627,0.443441924
0.104598519,0.191263121,0.076293587,0.627844773
0.105555783,0.234062543,0.109329044,0.55105263
0.128599135,0.205356451,0.086315661,0.579728754
0.105655204,0.220226927,0.098985584,0.575132285
0.120584906,0.259009323,0.132957074,0.487448697
0.106629036,0.230320331,0.105275178,0.557775456
0.098346035,0.200202559,0.081701691,0.619749715
0.119598764,0.212505008,0.0881647,0.579731528
0.144356777,0.214303621,0.093986624,0.547352978
0.125439742,0.201559271,0.09006077,0.582940217
0.147171853,0.307606084,0.101886069,0.443335994
0.137973695,0.256743805,0.105439447,0.499843052
0.16355155,0.270757398,0.11884738,0.446843672
0.146921738,0.257864006,0.142514061,0.452700195
0.195156546,0.311742005,0.187942683,0.305158766
0.211227739,0.32103809,0.115129484,0.352604687
0.179345366,0.244674743,0.121322725,0.454657166
0.164392724,0.236398241,0.126228619,0.472980416
0.175113818,0.292943773,0.12445986,0.40748255
0.185730435,0.290757786,0.160861391,0.362650388
0.135213393,0.245402121,0.065386397,0.553998088
0.101484089,0.210865622,0.068499852,0.619150437
0.136892021,0.291719151,0.083274394,0.488114433
0.135646065,0.290697174,0.115507179,0.458149583
0.670077426,0.157164339,0.069774085,0.10298415
0.563372068,0.210448944,0.095885889,0.1302931
0.596133284,0.202933349,0.089461368,0.111471998
0.644389482,0.186382357,0.077021255,0.092206905
0.591714149,0.20275564,0.09238701,0.1131432
0.697423508,0.145532071,0.063535376,0.093509045
0.710202636,0.145214089,0.061713419,0.082869856
0.498977837,0.248912578,0.108384153,0.143725432
0.66156517,0.16037749,0.073085528,0.104971812
0.690260089,0.146568822,0.065980806,0.097190282
0.657426455,0.162626979,0.074203851,0.105742715
0.709918117,0.140990908,0.06185418,0.087236795
0.24572413,0.315879522,0.156354317,0.282042032
0.193663385,0.291966192,0.252189775,0.262180648
0.202311929,0.299070668,0.204394295,0.294223108
0.212789485,0.301024692,0.231520408,0.254665415
0.212401149,0.29061643,0.224664722,0.272317698
0.193661323,0.275187739,0.160493935,0.370657003
0.197557744,0.2922961,0.228561086,0.28158507
0.280305072,0.337773068,0.154205549,0.227716311
0.195244499,0.285996858,0.242569785,0.276188858
0.206297346,0.294176633,0.238050989,0.261475032
0.198925927,0.291427081,0.231528577,0.278118415
