C1,C2,C3,C4,C5
0.213749713,0.213749592,0.125774634,0.359492125,0.087233936
0.236186702,0.236186566,0.16564277,0.196973295,0.165010667
0.217601607,0.217601304,0.137852456,0.314503588,0.112441046
0.210029891,0.210029757,0.174132675,0.151552112,0.254255565
0.24165848,0.241658249,0.142536241,0.250951719,0.123195311
0.21948683,0.219486652,0.168980803,0.234889711,0.157156004
0.118178074,0.118178079,0.076132753,0.645594931,0.041916163
0.099266257,0.099266046,0.060064827,0.697799352,0.043603517
0.085726137,0.085725962,0.051744306,0.740363841,0.036439754
0.091822563,0.091822432,0.059352784,0.717258737,0.039743485
0.227596933,0.227597813,0.219201451,0.248456459,0.077147343
0.217332844,0.217333697,0.254407481,0.209444919,0.10148106
0.211470893,0.211471698,0.268257396,0.231027167,0.077772846
0.229745242,0.229745908,0.219718648,0.208320884,0.112469319
0.226150234,0.226150999,0.227725339,0.207161171,0.112812257
0.265894167,0.265895304,0.203575998,0.148466414,0.116168116
0.214865812,0.214865256,0.146540538,0.294160566,0.129567828
0.234501769,0.234500666,0.111987373,0.257963385,0.161046807
0.241920533,0.241921509,0.221000548,0.124712276,0.170445134
0.237841427,0.237842813,0.265526766,0.120067739,0.138721255
0.251084936,0.251086946,0.270742327,0.149426054,0.077659738
0.224506163,0.224508136,0.349187652,0.102037868,0.099760181
0.221700047,0.221702204,0.365594982,0.107110143,0.083892624
0.253382987,0.253385575,0.288061212,0.125830253,0.079339974
0.22480716,0.224808873,0.330172943,0.106723618,0.113487407
0.189670991,0.189672696,0.443073728,0.102227623,0.075354962
0.224253519,0.22425593,0.363464947,0.122632786,0.065392817
0.244088421,0.244090399,0.286775194,0.122118839,0.102927146
0.258833458,0.258835456,0.245850448,0.136050098,0.10043054
0.237406978,0.237408665,0.280470427,0.137881551,0.106832379
0.246597925,0.246599477,0.258486198,0.107533013,0.140783386
0.23009238,0.230093731,0.282345974,0.135843465,0.121624449
0.248799852,0.248801463,0.247405712,0.146089923,0.10890305
0.217503293,0.217504699,0.32352384,0.155081106,0.086387062
0.183080975,0.183082472,0.454472048,0.096579666,0.082784839
0.18363636,0.183637943,0.45628463,0.102575558,0.073865509
0.219398402,0.219400633,0.369845366,0.126050086,0.065305513
0.257990408,0.257993452,0.283482994,0.135721677,0.06481147
0.234464143,0.234467186,0.364792574,0.102407187,0.06386891
0.252100282,0.252101693,0.227860932,0.147450692,0.1204864
0.230279137,0.230281391,0.311226209,0.170585883,0.057627381
0.214113355,0.214115647,0.391786856,0.120651395,0.059332748
0.254412918,0.254415228,0.271719563,0.133364241,0.08608805
0.250124961,0.250126326,0.230843464,0.150573244,0.118332007
0.243188744,0.24319093,0.299030204,0.124303861,0.090286261
0.22951519,0.229517463,0.328503668,0.150340168,0.062123512
0.194790671,0.194793141,0.464776095,0.09182975,0.053810343
0.259604216,0.25960653,0.259888578,0.130507395,0.090393281
0.251941618,0.251943383,0.252175458,0.139210866,0.104728675
0.236490599,0.23649313,0.338412168,0.104186428,0.084417676
0.210152651,0.210154702,0.379077721,0.142250269,0.058364657
0.189395842,0.189398289,0.47956981,0.087173979,0.05446208
0.262012919,0.262015163,0.251314167,0.129726085,0.094931667
0.237512182,0.23751404,0.293317809,0.148244466,0.083411502
0.216838829,0.216840629,0.357453385,0.114448056,0.094419102
0.247878637,0.247881107,0.296452354,0.127280761,0.080507141
0.193904177,0.193906097,0.438596235,0.107801039,0.065792452
0.249066253,0.249066988,0.216746498,0.156875341,0.128244921
0.244282351,0.244283851,0.259972979,0.123502354,0.127958465
0.221427297,0.22142803,0.248603476,0.127524442,0.181016755
0.181259499,0.181261728,0.5014453,0.087798058,0.048235414
0.176382777,0.176384341,0.49306759,0.0836759,0.070489393
0.194407614,0.19440936,0.423929478,0.118422785,0.068830762
0.159847668,0.159849213,0.539151833,0.080345747,0.060805539
0.228318047,0.228319837,0.338155193,0.114487826,0.090719097
0.164104274,0.164105822,0.525884738,0.084364387,0.061540779
0.193549822,0.193551539,0.446584863,0.081437468,0.084876308
0.172776909,0.172778356,0.483021426,0.102624956,0.068798353
0.183839073,0.183840746,0.471751093,0.082557812,0.078011275
0.209696847,0.209698417,0.38856954,0.091160773,0.100874423
0.1906954,0.190697091,0.454250623,0.082419142,0.081937744
0.172119303,0.172120989,0.510876942,0.079134688,0.065748078
0.176760423,0.176761905,0.484002492,0.09340008,0.069075099
0.177889607,0.177890953,0.455869754,0.114197939,0.074151748
0.167991016,0.167992374,0.493273909,0.099405849,0.071336852
0.246735623,0.246738029,0.321108879,0.108780132,0.076637337
0.205995763,0.205997495,0.402403483,0.105128102,0.080475157
0.219004943,0.219006731,0.343731314,0.126671327,0.091585685
0.207820093,0.207821539,0.361228501,0.112961233,0.110168633
0.243579816,0.24358089,0.226802303,0.146050893,0.139986098
0.251694068,0.251696035,0.254026363,0.157355671,0.085227864
0.19925393,0.199255186,0.365962963,0.140995988,0.094531933
0.19219821,0.19219938,0.388749258,0.128444936,0.098408216
0.232996825,0.232998704,0.30618715,0.133548089,0.094269232
0.22980401,0.229805319,0.27703006,0.14138384,0.121976771
0.212745662,0.212748395,0.411216229,0.110125776,0.053163938
0.189334451,0.189336853,0.477796729,0.085702811,0.057829156
0.240915625,0.240918755,0.347591539,0.106199708,0.064374373
0.236057814,0.236060287,0.335644708,0.104013101,0.08822409
0.115183797,0.115183667,0.072080127,0.648951355,0.048601054
0.166872326,0.16687211,0.098421886,0.495526295,0.072307383
0.162739386,0.162739019,0.08454692,0.522101382,0.067873293
0.150769079,0.150768619,0.070148448,0.569786397,0.058527457
0.162278455,0.162278067,0.085815899,0.519611307,0.070016272
0.103785828,0.10378569,0.063605031,0.6858279,0.042995552
0.110292043,0.110291784,0.059635765,0.67546861,0.044311798
0.197662199,0.197662095,0.10769412,0.41527809,0.081703496
0.11814199,0.118141842,0.073859656,0.638658555,0.051197957
0.103506748,0.10350662,0.065581491,0.683135345,0.044269796
0.120518846,0.120518692,0.07481795,0.631849915,0.052294597
0.101002639,0.101002465,0.059417981,0.696565846,0.042011068
0.245805639,0.245806427,0.209347441,0.18307973,0.115960762
0.229544574,0.229544991,0.200339589,0.146270069,0.194300778
0.234650484,0.234651198,0.223453857,0.152479508,0.154764952
0.236417146,0.236417411,0.192017712,0.158128929,0.177018801
0.228740511,0.228740956,0.209069354,0.162190377,0.171258802
0.216895233,0.216896153,0.296561335,0.147375889,0.122271389
0.230080684,0.230081237,0.215868878,0.15004817,0.173921031
0.261133745,0.261134009,0.165090419,0.199896018,0.112745809
0.226174423,0.226174922,0.212273182,0.149442618,0.185934855
0.23096133,0.230961789,0.199463786,0.156882189,0.181730905
0.229320784,0.229321257,0.213654357,0.150206653,0.177496949
0.257738576,0.257738642,0.160946283,0.193142974,0.130433524
0.240434089,0.24043412,0.184514544,0.172564352,0.162052894
0.279329109,0.279331828,0.234350443,0.129707347,0.077281274
0.067938845,0.067938653,0.036715345,0.801324104,0.026083053
0.073876026,0.073875852,0.042800486,0.778869559,0.030578077
0.214251426,0.214251148,0.170480743,0.211739536,0.189277147
0.219292703,0.219291656,0.111737373,0.321085554,0.128592713
0.071040848,0.071040624,0.03543626,0.795987148,0.026495119
0.212261944,0.212261094,0.138117403,0.176081964,0.261277594
0.054663489,0.054663338,0.030593802,0.83815282,0.021926551
0.0572683,0.05726816,0.032667723,0.830004904,0.022790913
0.076996707,0.07699646,0.04275752,0.771068089,0.032181224
0.073836343,0.073836052,0.038210366,0.783461559,0.03065568
0.079437894,0.079437529,0.039155514,0.769152733,0.03281633
0.223209137,0.223208354,0.144285381,0.251530363,0.157766764
0.201862394,0.201861392,0.120437426,0.121819623,0.354019166
0.193155495,0.193154346,0.105653328,0.117380278,0.390656552
0.179273524,0.179272697,0.096460084,0.455515174,0.089478521
0.094042157,0.094041905,0.050885443,0.724034601,0.036995894
0.193157843,0.193159321,0.406631569,0.12767445,0.079376816
0.213005256,0.213006677,0.340737708,0.132233158,0.101017201
0.214803519,0.214804814,0.324740453,0.125612925,0.120038289
0.213744379,0.213746389,0.373359498,0.121875335,0.077274399
0.162467132,0.162468853,0.535257585,0.078671183,0.061135246
0.215069448,0.215070777,0.325687337,0.135168584,0.109003854
0.210253481,0.210254798,0.339165105,0.131043969,0.109282646
0.197578231,0.197579718,0.394850918,0.123823743,0.08616739
0.207110068,0.207111273,0.338329015,0.133569391,0.113880253
0.193146289,0.193147619,0.394775322,0.1348936,0.08403717
0.201524296,0.201525519,0.358819417,0.132881614,0.105249154
0.208965496,0.208966807,0.341562963,0.136320463,0.104184271
0.198274312,0.198275637,0.377221653,0.136497652,0.089730746
0.207217694,0.207218842,0.332009489,0.14053603,0.113017945
0.194625892,0.19462731,0.39976128,0.122890068,0.088095449
0.199594036,0.199595268,0.367003817,0.123839365,0.109967514
0.190962789,0.1909642,0.410204349,0.12665449,0.081214172
0.17018484,0.170186156,0.483157817,0.103824459,0.072646727
0.188084903,0.188086298,0.420612628,0.116960384,0.086255786
0.182287008,0.182288351,0.436342317,0.117624896,0.081457429
0.208432309,0.208433801,0.359858465,0.127879286,0.09539614
0.196066637,0.196068121,0.397639314,0.128599659,0.081626268
0.233512911,0.233513701,0.172237591,0.289475918,0.071259879
0.274953397,0.27495465,0.151504434,0.203493197,0.095094322
0.228840515,0.228841152,0.221020202,0.141987381,0.17931075
0.229405872,0.229406847,0.251559332,0.141464655,0.148163295
0.228888519,0.228889472,0.251485817,0.140220842,0.15051535
0.177189261,0.177190743,0.464968135,0.10427093,0.076380931
0.203843992,0.203845439,0.371682194,0.125068974,0.095559401
0.179363437,0.179364917,0.45675799,0.112531335,0.071982321
0.195124515,0.195126188,0.408395309,0.130207344,0.071146645
0.174047331,0.174048956,0.485384934,0.100730979,0.0657878
0.196542796,0.196544222,0.391298351,0.129198187,0.086416444
0.192244493,0.192245789,0.39358256,0.137404239,0.084522919
0.193597084,0.193598695,0.418303649,0.115491069,0.079009503
0.239930667,0.239931409,0.201486509,0.17387076,0.144780655
0.242919969,0.242920789,0.201722194,0.173080383,0.139356665
0.233496644,0.233497755,0.245951043,0.156206748,0.13084781
0.232728821,0.232729764,0.234213373,0.161061488,0.139266554
0.239457695,0.239458884,0.238050099,0.156610019,0.126423304
0.239662118,0.239663314,0.238153199,0.156119847,0.126401521
0.2426589,0.242660227,0.237578635,0.157880941,0.119221298
0.243106319,0.243107144,0.2017885,0.172613853,0.139384184
0.243066725,0.243067899,0.227957911,0.158325128,0.127582336
0.239333773,0.239334789,0.224356929,0.161457408,0.135517101
0.239930667,0.239931409,0.201486509,0.17387076,0.144780655
0.234306987,0.234308122,0.24598046,0.154257717,0.131146714
0.232815689,0.232816634,0.234172847,0.160943958,0.139250872
0.224419368,0.224420572,0.285249294,0.136985661,0.128925104
0.224594082,0.224595299,0.285506663,0.136913568,0.128390389
0.195538521,0.195540246,0.410157101,0.129683043,0.069081089
0.17243842,0.172439976,0.487753521,0.097994862,0.069373221
0.249727028,0.249725782,0.129313768,0.225579158,0.145654265
0.260659968,0.260658763,0.131535709,0.207724222,0.139421338
0.205493346,0.205492628,0.125151967,0.35432424,0.109537819
0.244519045,0.244517984,0.133970645,0.241844739,0.135147587
0.122436462,0.122436314,0.07223398,0.640192806,0.042700439
0.204317734,0.2043171,0.11475,0.388632814,0.087982353
0.192190482,0.192190016,0.096799951,0.44058552,0.078234032
0.091085815,0.091085707,0.054091186,0.73079166,0.032945631
0.225978929,0.225978791,0.14965316,0.285098439,0.113290681
0.225640927,0.225640976,0.158939621,0.274533197,0.115245278
0.23218135,0.232180584,0.136961805,0.293980781,0.104695479
0.260641305,0.260639573,0.12066721,0.188689775,0.169362138
0.240543416,0.240542551,0.143625134,0.218234776,0.157054123
0.17636916,0.176368388,0.089745328,0.481979334,0.075537789
0.212198664,0.212197943,0.11111227,0.374707217,0.089783905
0.230358271,0.230358315,0.155097218,0.267023655,0.117162541
