C1,C2,C3,C4,C5,C6
0.16012643,0.103348057,0.071529028,0.18172401,0.301548334,0.181724141
0.176692751,0.135335381,0.132754721,0.197924557,0.159368038,0.197924553
0.15969404,0.112599206,0.091532196,0.187473784,0.261226889,0.187473885
0.163900241,0.144980445,0.209935678,0.178648581,0.123886543,0.178648512
0.172707594,0.115649425,0.097756197,0.204227391,0.205431976,0.204227418
0.168928601,0.138333446,0.12858731,0.185608158,0.192934285,0.1856082
0.0913366,0.060211139,0.033178511,0.096076345,0.623120962,0.096076443
0.063992311,0.043742613,0.031638939,0.077943474,0.704739118,0.077943546
0.05030318,0.034194428,0.023919127,0.060988492,0.769606226,0.060988547
0.056345206,0.039660293,0.026422452,0.065035579,0.747500832,0.065035638
0.214418027,0.179308726,0.061844695,0.172006708,0.200415012,0.172006833
0.213146094,0.207864338,0.081063169,0.163262073,0.171402199,0.163262128
0.201802482,0.228646588,0.062253083,0.159772517,0.187752716,0.159772615
0.210507096,0.17738742,0.090009918,0.176788963,0.168517581,0.176789022
0.213141059,0.183631151,0.090259036,0.172001007,0.168966694,0.172001053
0.235027705,0.163564202,0.091953566,0.196433212,0.116588096,0.196433218
0.154899771,0.120006075,0.105247335,0.190973984,0.237898735,0.190974101
0.142704534,0.09020923,0.12860895,0.216894986,0.204687269,0.216895031
0.231209268,0.175498703,0.134996023,0.180073671,0.098148727,0.180073607
0.257686765,0.205707893,0.107903858,0.167832945,0.093035635,0.167832904
0.308852856,0.195098757,0.058371899,0.163561054,0.11055429,0.163561145
0.301274517,0.256084329,0.07539335,0.145277447,0.076692928,0.14527743
0.320872104,0.259249548,0.062548479,0.138889067,0.079551727,0.138889075
0.344729578,0.199492819,0.057768008,0.153342167,0.091325231,0.153342198
0.280304595,0.249159976,0.087011531,0.151030744,0.081462438,0.151030716
0.283372904,0.327685091,0.058584803,0.12560312,0.079150943,0.125603138
0.343908548,0.247395431,0.048041847,0.13549121,0.089671704,0.135491261
0.300081613,0.210871878,0.077651757,0.159706416,0.091981924,0.159706412
0.298065793,0.181484181,0.075895539,0.170857002,0.102840473,0.170857012
0.282413104,0.208797365,0.081816064,0.160617526,0.105738403,0.160617538
0.265616003,0.199238603,0.108840282,0.171829244,0.082646688,0.171829179
0.258591116,0.217105256,0.094726179,0.161990071,0.105597308,0.16199007
0.276418013,0.186021825,0.083546635,0.170870654,0.112272206,0.170870668
0.265403709,0.243707015,0.067208175,0.151581812,0.120517416,0.151581873
0.259943963,0.34935676,0.065283514,0.124862073,0.075691612,0.124862078
0.270891208,0.343002524,0.058091079,0.123853148,0.08030887,0.12385317
0.328394131,0.256766609,0.048765924,0.136215273,0.093642734,0.136215329
0.375882356,0.188477113,0.045860139,0.147030064,0.0957202,0.147030127
0.399446468,0.23013422,0.044106801,0.127957928,0.070396628,0.127957954
0.261602025,0.174615197,0.093320199,0.177977685,0.11450721,0.177977684
0.319618265,0.220736687,0.043312915,0.144473747,0.127384531,0.144473855
0.332720773,0.270559836,0.044293807,0.131502878,0.089419767,0.131502939
0.321828659,0.194494471,0.063950082,0.160452868,0.098821021,0.160452899
0.258125794,0.177768643,0.0916675,0.177545574,0.117346913,0.177545575
0.317798663,0.214183452,0.067175558,0.154231839,0.092378634,0.154231855
0.325134115,0.231352037,0.046340526,0.142807366,0.111558504,0.142807452
0.367218217,0.300221843,0.039367002,0.113215701,0.066761501,0.113215735
0.319435553,0.187140867,0.067230281,0.164636114,0.096921052,0.164636132
0.281501985,0.190200122,0.079842165,0.170817429,0.106820869,0.17081743
0.344651278,0.233822891,0.061331888,0.142213611,0.07576673,0.142213603
0.308286876,0.271973116,0.044384803,0.133794961,0.107765203,0.133795042
0.372208901,0.305881614,0.039749763,0.109418753,0.063322192,0.109418779
0.313544525,0.182434424,0.070896525,0.168147728,0.096829061,0.168147736
0.29821527,0.213641185,0.063180862,0.156632643,0.111697335,0.156632705
0.290062336,0.264729284,0.072073855,0.142957156,0.08722021,0.142957159
0.33824611,0.206577596,0.058904065,0.15161744,0.093037321,0.151617468
0.30606622,0.312364698,0.050424002,0.124396406,0.082352233,0.124396441
0.226928557,0.171934542,0.101208039,0.189080742,0.12176734,0.18908078
0.261280894,0.202427116,0.099366434,0.170686403,0.095552781,0.170686372
