C1,C2,C3,C4
0.038039725,0.017370884,0.915432936,0.029156455
0.170978197,0.068949859,0.658936565,0.101135379
0.027383699,0.013807228,0.935563484,0.023245589
0.026997052,0.011812528,0.939587148,0.021603272
0.021320056,0.009888849,0.952051657,0.016739438
0.048441394,0.024122495,0.887812438,0.039623674
0.071190472,0.032345704,0.845489556,0.050974268
0.063743014,0.032847993,0.830238815,0.073170178
0.022766727,0.010764325,0.948402667,0.018066281
0.008836663,0.004064505,0.979866539,0.007232293
0.021090649,0.010313196,0.948175301,0.020420854
0.031307848,0.016171176,0.920163563,0.032357414
0.015154822,0.006929118,0.965838599,0.012077461
0.036481472,0.01879441,0.905904165,0.038819953
0.014170921,0.006481009,0.968031128,0.011316942
0.015725014,0.007466565,0.964037447,0.012770974
0.008862379,0.004300297,0.978279203,0.00855812
0.032885122,0.016502141,0.916136565,0.034476171
0.00403116,0.001932417,0.990450286,0.003586137
0.008670648,0.004066681,0.980093865,0.007168806
0.033010849,0.015466242,0.925296948,0.026225961
0.025794345,0.012282757,0.941345875,0.020577024
0.016271562,0.008003772,0.961736543,0.013988124
0.01413952,0.006720494,0.96647864,0.012661346
0.035247435,0.017013356,0.920003812,0.027735397
0.013757283,0.0064104,0.968762242,0.011070076
0.025794345,0.012282757,0.941345875,0.020577024
0.023185653,0.010548416,0.948263141,0.01800279
0.005113971,0.002473313,0.987741443,0.004671273
0.007127777,0.003364401,0.983491525,0.006016297
0.012760907,0.006092005,0.970586076,0.010561012
0.012760907,0.006092005,0.970586076,0.010561012
0.012019366,0.005717205,0.97061928,0.011644149
0.009511518,0.004686606,0.976630031,0.009171845
0.031782836,0.015223726,0.92007981,0.032913628
0.121871172,0.069235384,0.643996788,0.164896656
0.02523869,0.012313312,0.936544163,0.025903834
0.021903167,0.009792457,0.950636667,0.01766771
0.021363482,0.0107544,0.946220351,0.021661767
0.053069107,0.021795889,0.884920551,0.040214453
0.041121955,0.020905379,0.893724527,0.044248139
0.007329789,0.003445602,0.982330263,0.006894346
0.0964942,0.053916337,0.729242581,0.120346881
0.014918915,0.007428369,0.962897792,0.014754924
0.012253769,0.005954271,0.96997128,0.01182068
0.002642321,0.001277131,0.993660172,0.002420375
0.006510036,0.002941291,0.985112793,0.005435879
0.041121955,0.020905379,0.893724527,0.044248139
0.021260676,0.009915162,0.948144692,0.02067947
0.027417909,0.013331402,0.931032379,0.02821831
0.783245854,0.083001009,0.047002059,0.086751079
0.813804383,0.109878794,0.018998302,0.057318521
0.633171818,0.247538285,0.029735441,0.089554456
0.689579223,0.217350451,0.016633261,0.076437065
0.481113809,0.138901639,0.224207015,0.155777537
0.426258651,0.099826318,0.193163154,0.280751877
0.958733477,0.016241202,0.005528821,0.0194965
0.80122506,0.073757457,0.042290343,0.08272714
0.975417584,0.012514079,0.002339668,0.009728669
0.787823611,0.13578442,0.01665904,0.059732929
0.694023543,0.120323587,0.075131927,0.110520943
0.876594092,0.045370803,0.021824849,0.056210256
0.802993304,0.096492577,0.03108966,0.069424459
0.68768791,0.199015222,0.029387679,0.08390919
0.772511072,0.149543478,0.01299385,0.0649516
0.030430936,0.020608263,0.008725401,0.9402354
0.111797573,0.041444326,0.019675473,0.827082627
0.142049474,0.052824965,0.034481598,0.770643963
0.437436219,0.099943149,0.025227711,0.437392921
0.239792044,0.076346796,0.021644551,0.662216608
0.426258651,0.099826318,0.193163154,0.280751877
0.49302766,0.086358585,0.052937742,0.367676013
0.331628609,0.079459904,0.042865594,0.546045893
0.111797573,0.041444326,0.019675473,0.827082627
0.0133462,0.007214939,0.00300611,0.976432751
