C1,C2,C3,C4,C5
0.004782938,0.904145377,0.005289712,0.01073514,0.075046834
0.044503854,0.601112488,0.041305394,0.095748097,0.217330166
0.008329734,0.766703459,0.009664127,0.017564215,0.197738465
0.009538624,0.714789326,0.011103065,0.023870681,0.240698305
0.000605282,0.984633982,0.000677612,0.001357608,0.012725514
0.013056154,0.744434799,0.014746421,0.027163778,0.200598848
0.012701556,0.820058211,0.013243543,0.027079068,0.126917622
0.008382895,0.098856764,0.012582464,0.02151926,0.858658617
0.00134895,0.966199072,0.00151259,0.002964229,0.027975159
0.001690553,0.93730993,0.001969295,0.003980154,0.055050069
0.00806829,0.288065846,0.010676091,0.019715812,0.67347396
0.003664115,0.079510818,0.005013645,0.008687826,0.903123597
0.001238053,0.962894374,0.001412342,0.002876175,0.031579057
0.00409605,0.079038797,0.005771191,0.009938795,0.901155167
0.000332696,0.990005238,0.000380509,0.000773357,0.0085082
0.000932477,0.972342836,0.001065619,0.002075716,0.023583352
0.001984035,0.084758952,0.002618223,0.004911815,0.905726974
0.001430846,0.028616871,0.002001236,0.003584733,0.964366313
0.005636638,0.534720762,0.00694127,0.013348241,0.43935309
0.000688733,0.97489053,0.000804082,0.001585023,0.022031632
0.00553082,0.876550548,0.006247006,0.01230486,0.099366766
0.002706767,0.934411027,0.003042323,0.005905741,0.053934142
0.005774776,0.791235986,0.006850961,0.012753392,0.183384885
0.007995166,0.590089155,0.009984567,0.019193836,0.372737275
0.005050967,0.894374851,0.005571961,0.01068038,0.084321841
0.000159122,0.995160225,0.000181714,0.00036184,0.004137098
0.002706767,0.934411027,0.003042323,0.005905741,0.053934142
0.001694202,0.957790691,0.001892833,0.003878721,0.034743553
0.005327161,0.362948612,0.006691638,0.01271005,0.612322539
0.004002033,0.816211024,0.004734313,0.009298538,0.165754092
0.003575318,0.872222831,0.004136052,0.008034449,0.112031349
0.003575318,0.872222831,0.004136052,0.008034449,0.112031349
0.001681513,0.061423517,0.002238664,0.004309906,0.930346399
0.00334907,0.150492064,0.004393023,0.008083118,0.833682725
0.001917719,0.039802416,0.002696128,0.005119881,0.950463856
0.034522988,0.196444146,0.058484721,0.085018643,0.625529502
0.000232615,0.00550747,0.000322675,0.000598921,0.993338319
0.007824848,0.75124394,0.009088376,0.019059058,0.212783778
0.002354171,0.065882501,0.00320328,0.005711555,0.922848493
0.015319475,0.675466467,0.017504179,0.040406217,0.251303662
0.002841864,0.048246436,0.004049257,0.007112072,0.937750371
0.003400968,0.160996243,0.004432914,0.008676197,0.822493679
0.023753353,0.184863937,0.037628816,0.056863792,0.696890102
0.002548656,0.088973428,0.003405616,0.006171364,0.898900935
0.002413966,0.090961571,0.003175246,0.005967468,0.897481748
0.005029917,0.428898339,0.006351585,0.012012721,0.547707438
0.004119055,0.811843425,0.004919085,0.010142954,0.168975481
0.002841864,0.048246436,0.004049257,0.007112072,0.937750371
0.003950287,0.112912928,0.005306999,0.010493904,0.867335881
0.000836212,0.018906294,0.001163774,0.002169764,0.976923956
0.22108379,0.103039089,0.116426923,0.474096144,0.085354055
0.451809707,0.054307809,0.114305036,0.33135921,0.048218238
0.568884441,0.046575739,0.105679402,0.237459204,0.041401214
0.625966832,0.027436145,0.094010078,0.226791788,0.025795157
0.161719359,0.25870565,0.106458459,0.302197314,0.170919218
0.077511949,0.121085372,0.098531471,0.577606314,0.125264894
0.191633863,0.049297549,0.102199078,0.611634737,0.045234773
0.205178085,0.096131991,0.113428773,0.504400694,0.080860457
0.332140324,0.043129509,0.11533663,0.469427241,0.039966297
0.524791921,0.041582056,0.106965538,0.288860882,0.037799604
0.244675552,0.130979648,0.121352078,0.400029679,0.102963043
0.182915959,0.069416293,0.105137869,0.581178228,0.061351651
0.329914515,0.082484468,0.121538364,0.396201632,0.069861023
0.516250751,0.053496852,0.1119311,0.271220007,0.04710129
0.55994749,0.028888345,0.104009396,0.279808394,0.027346375
0.051487842,0.018977532,0.703647839,0.202457991,0.023428796
0.040982692,0.01586999,0.13523748,0.789357378,0.01855246
0.047101481,0.024887822,0.151311454,0.746627582,0.03007166
0.049787061,0.009820596,0.068843328,0.8610939,0.010455115
0.045831871,0.010445934,0.097269427,0.834962691,0.011490078
0.077511949,0.121085372,0.098531471,0.577606314,0.125264894
0.011025317,0.005337409,0.015703606,0.962217167,0.005716501
0.00646215,0.002772675,0.012258241,0.975412558,0.003094376
0.040982692,0.01586999,0.13523748,0.789357378,0.01855246
0.064615839,0.02279676,0.462397521,0.422756047,0.027433833
0.009865174,0.004957551,0.015902166,0.963839249,0.005435861
0.064619016,0.020470308,0.531568087,0.358746689,0.024595899
0.069207461,0.015106013,0.060004892,0.840439111,0.015242524
0.163443238,0.020340711,0.139473312,0.655800709,0.020942031
0.068286503,0.078871509,0.087371317,0.683599313,0.081871358
0.360738497,0.046942063,0.116144096,0.433245995,0.042929349
0.049850155,0.020045267,0.757951896,0.146898203,0.025254479
0.029258431,0.009326881,0.876995018,0.072963721,0.011455949
0.074186662,0.017749163,0.35526792,0.532476455,0.0203198
0.06916582,0.051222167,0.243747333,0.568487213,0.067377467
0.061573296,0.059066927,0.078207516,0.739527544,0.061624718
0.047473729,0.042666638,0.072751885,0.789901787,0.047205961
0.068618608,0.029878765,0.710931938,0.152406455,0.038164234
0.02551921,0.010576322,0.067617102,0.88406506,0.012222307
0.045831871,0.010445934,0.097269427,0.834962691,0.011490078
0.039099405,0.02359861,0.10181626,0.807203882,0.028281843
0.02551921,0.010576322,0.067617102,0.88406506,0.012222307
0.047934252,0.016574604,0.170510603,0.74573531,0.019245231
0.008344594,0.003935835,0.013521791,0.969884596,0.004313184
0.065560761,0.028255489,0.506787708,0.364159969,0.035236073
0.061389168,0.018861215,0.574912637,0.32236969,0.022467289
0.06658793,0.028540803,0.426974786,0.442666875,0.035229606
0.054793268,0.014878865,0.675290239,0.237425918,0.017611709
0.014680002,0.006585016,0.03205584,0.939174097,0.007505044
0.064410878,0.075679617,0.088946104,0.689511709,0.081451692
0.849320086,0.009825445,0.048451316,0.082845576,0.009557577
0.970637962,0.002408313,0.011574512,0.013036467,0.002342746
0.994723764,0.000397768,0.0020501,0.002440091,0.000388277
0.849594654,0.01499461,0.055737254,0.065314568,0.014358913
0.642185681,0.03369482,0.164145961,0.126411966,0.033561571
0.849289159,0.00994911,0.070758153,0.059910775,0.010092803
0.790733149,0.016824636,0.062241407,0.114355397,0.015845412
0.698819261,0.015152534,0.10494655,0.165900904,0.015180751
0.976310731,0.001722345,0.009898194,0.010369566,0.001699163
0.793542152,0.014351626,0.102058219,0.075475477,0.014572526
