C1,C2,C3,C4,C5,C6,C7,C8
0.031034683,0.00530573,0.805672382,0.148229661,0.003141999,0.001600331,0.001848184,0.00316703
0.127099081,0.06374306,0.329921994,0.363070267,0.042706167,0.016669384,0.022889822,0.033900224
0.092937148,0.009633703,0.658125479,0.220171594,0.005812964,0.00337393,0.003648484,0.006296698
0.075152534,0.009351836,0.135455715,0.764417882,0.004931843,0.002524392,0.002841993,0.005323806
0.0247017,0.00319757,0.674025843,0.292183562,0.00187329,0.000976606,0.001114043,0.001927386
0.090100698,0.014058623,0.668812478,0.198945732,0.008708156,0.004878111,0.005408865,0.009087337
0.06613211,0.016410679,0.639581743,0.246704568,0.010398763,0.004995008,0.006062669,0.00971446
0.796759994,0.017218723,0.061097144,0.093698753,0.008033008,0.005909655,0.005186159,0.012096565
0.009776735,0.001245035,0.917167009,0.069468104,0.00074031,0.000393134,0.00044545,0.000764223
0.010110617,0.000922069,0.054223687,0.933103211,0.000510656,0.000273661,0.00030318,0.000552919
0.484989625,0.017492745,0.224883941,0.241007603,0.008963103,0.005679039,0.005568383,0.011415562
0.848198264,0.007177342,0.050672618,0.080434243,0.003686029,0.002522301,0.002373533,0.004935671
0.022404227,0.002528134,0.179905902,0.790636669,0.001428661,0.000747751,0.000843705,0.001504951
0.852938329,0.008095587,0.052551976,0.071289174,0.004054741,0.002843173,0.002610474,0.005616547
0.026804603,0.003021397,0.381114032,0.583646158,0.001706976,0.000896224,0.001008403,0.001802208
0.013088272,0.001400357,0.882836778,0.100055703,0.000817271,0.00044316,0.000493831,0.000864628
0.739330048,0.006828098,0.083935097,0.157775315,0.003447583,0.002159172,0.002132274,0.004392413
0.957393181,0.002237751,0.013216935,0.023128894,0.001091244,0.000738891,0.00069101,0.001502095
0.182715944,0.007324362,0.163419724,0.633329179,0.003929238,0.002290753,0.002401782,0.004589017
0.031161971,0.002794484,0.643851476,0.317096189,0.001576064,0.000861801,0.000946876,0.001711138
0.031206228,0.004611043,0.838939313,0.116626905,0.002720752,0.001444151,0.001628275,0.002823333
0.007194928,0.000940853,0.953439728,0.036638049,0.000562611,0.000301426,0.000340011,0.000582394
0.086045366,0.007195386,0.670788157,0.222203705,0.004160157,0.002409595,0.002575722,0.004621912
0.218158427,0.014108457,0.415107154,0.327265207,0.007510175,0.004412317,0.00456913,0.008869132
0.026320884,0.003917362,0.850243061,0.11189791,0.00241622,0.001287554,0.001470025,0.002446984
0.025709223,0.002766468,0.550121855,0.416340449,0.001588782,0.000846566,0.000949103,0.001677554
0.007194928,0.000940853,0.953439728,0.036638049,0.000562611,0.000301426,0.000340011,0.000582394
0.034827541,0.00474463,0.347949175,0.603921855,0.002738797,0.001401101,0.001609666,0.002807234
0.329802415,0.009270212,0.161803016,0.482398715,0.004902327,0.002930833,0.0030168,0.005875682
0.042289038,0.002997978,0.11100592,0.838278316,0.001661593,0.000922568,0.001003247,0.001841342
0.055312915,0.004866324,0.238925968,0.691859761,0.002792933,0.001535664,0.001695053,0.003011382
0.055312915,0.004866324,0.238925968,0.691859761,0.002792933,0.001535664,0.001695053,0.003011382
0.767759931,0.00681952,0.065033416,0.148658085,0.003332884,0.002061599,0.002037694,0.004296871
0.655191093,0.00888789,0.127401654,0.192349133,0.004593163,0.002905571,0.002866446,0.00580505
0.887660854,0.00603151,0.033453594,0.062663607,0.002791749,0.001815879,0.001718938,0.003863869
