C1,C2,C3,C4,C5,C6
0.075455744,0.89781581,0.004969789,0.004117686,0.010214504,0.007426467
0.207980418,0.565851708,0.03665546,0.035651702,0.082338191,0.07152252
0.18895107,0.768020466,0.008614816,0.006853585,0.01608171,0.011478353
0.243011261,0.699783237,0.010537668,0.008264114,0.023181325,0.015222395
0.013077403,0.983463559,0.000651014,0.000533106,0.001325932,0.000948986
0.193973419,0.738215221,0.013341624,0.010899003,0.025087818,0.018482915
0.126127887,0.806005486,0.012287532,0.010785562,0.025128549,0.019664984
0.84934019,0.098040898,0.011748971,0.007227396,0.021977683,0.011664862
0.025381503,0.967883501,0.001282377,0.001050103,0.002557569,0.001844947
0.057267792,0.93263189,0.00191978,0.001510316,0.003978791,0.00269143
0.666177457,0.286301588,0.009841434,0.006856792,0.019228503,0.011594226
0.904082817,0.075396602,0.004442462,0.002998372,0.00821753,0.004862217
0.034619781,0.957668149,0.001449563,0.001163719,0.003011807,0.002086982
0.900672636,0.075701872,0.005169783,0.003390139,0.009566823,0.005498747
0.010991686,0.986564439,0.000460091,0.000368535,0.000954468,0.000660781
0.019431124,0.976303663,0.000820235,0.000659361,0.001632992,0.001152625
0.903940858,0.084284627,0.002418912,0.001687577,0.004801709,0.002866317
0.963596193,0.027873923,0.001825497,0.00120351,0.003513143,0.001987733
0.433728697,0.534022137,0.006407578,0.004782443,0.012821679,0.008237466
0.018917512,0.977730364,0.000645519,0.000507626,0.001306107,0.000892873
0.097082315,0.872926605,0.005704788,0.004638524,0.011445573,0.008202195
0.050124477,0.936076049,0.002641505,0.002159661,0.005222069,0.003776239
0.174215873,0.795356488,0.0060643,0.004710618,0.01164349,0.008009232
0.36583325,0.588165285,0.009167103,0.006754037,0.01837564,0.011704685
0.080300094,0.893782965,0.004958866,0.004134106,0.009647986,0.007175983
0.003499079,0.995745116,0.00014372,0.000115436,0.000292263,0.000204385
0.050124477,0.936076049,0.002641505,0.002159661,0.005222069,0.003776239
0.037957461,0.951640669,0.001934408,0.001584686,0.004024439,0.002858337
0.606880704,0.362380832,0.006185187,0.004528879,0.012285095,0.007739303
0.163512367,0.813947352,0.004372004,0.003392317,0.00884739,0.005928571
0.108819449,0.871783041,0.003754906,0.002981,0.007480264,0.005181341
0.108819449,0.871783041,0.003754906,0.002981,0.007480264,0.005181341
0.923588848,0.065437824,0.00222992,0.001540089,0.004554429,0.002648891
0.833065602,0.147690002,0.003986128,0.00280071,0.007747176,0.00471038
0.942866717,0.043758617,0.002777708,0.001818107,0.005679836,0.003099014
0.598548866,0.188002732,0.053461348,0.029224835,0.086975752,0.043786467
0.990988262,0.007142945,0.000391522,0.000259938,0.000779305,0.000438028
0.215533851,0.738073701,0.008649915,0.006807575,0.018572378,0.012362579
0.924804057,0.062012723,0.002805449,0.001902659,0.005331223,0.003143889
0.251600919,0.655409079,0.016404265,0.013053321,0.038403278,0.025129137
