C1,C2,C3,C4,C5,C6,C7,C8,C9
0.1291175,0.15440229,0.129117475,0.129115719,0.10041792,0.080912081,0.10041792,0.109108223,0.067390872
0.131312341,0.163216473,0.131312315,0.131310448,0.098692228,0.069024575,0.098692228,0.105034524,0.071404869
0.121237783,0.083331053,0.121237744,0.121234926,0.089951776,0.247965696,0.089951776,0.063606111,0.061483134
0.102063805,0.049231483,0.102063853,0.102067342,0.167975256,0.045228126,0.167975256,0.047397615,0.215997265
0.099675372,0.050643101,0.099675422,0.099679052,0.176400557,0.045873609,0.176400557,0.049103239,0.202549091
0.116909309,0.092224675,0.116909346,0.116912095,0.133272505,0.037826114,0.133272505,0.09444571,0.158227741
0.117301407,0.083413118,0.11730145,0.117304555,0.156101655,0.080655496,0.156101655,0.074376099,0.097444567
0.096712578,0.101960286,0.096712626,0.096716099,0.157623722,0.052395445,0.157623722,0.104169166,0.136086357
0.086032902,0.050226771,0.086032943,0.086035898,0.138520228,0.034111368,0.138520228,0.048725637,0.331794026
0.105016893,0.051029026,0.105016939,0.105020329,0.170641166,0.048349843,0.170641166,0.04902081,0.195263827
0.121734067,0.060530447,0.121734108,0.121737097,0.15600665,0.049866556,0.15600665,0.058356887,0.154027537
0.058703644,0.034921284,0.058703632,0.058702816,0.049667444,0.626815285,0.049667444,0.026007588,0.036810863
0.081589174,0.175686307,0.081589214,0.081592147,0.116561217,0.028075546,0.116561217,0.217279479,0.101065698
0.067115733,0.047369687,0.067115733,0.067115695,0.065847527,0.53239569,0.065847527,0.036382208,0.050810199
0.116974774,0.050064425,0.116974826,0.116978617,0.156519764,0.031019792,0.156519764,0.049778354,0.205169684
0.109747892,0.05304558,0.109747937,0.109751158,0.168591019,0.055149265,0.168591019,0.053003157,0.172372973
0.065991682,0.044811308,0.065991718,0.065994285,0.113832897,0.026499169,0.113832897,0.042511893,0.460534152
0.09778465,0.087680485,0.097784699,0.097788269,0.167245396,0.05687361,0.167245396,0.087446443,0.140151053
0.111698643,0.059584484,0.111698603,0.111695681,0.081992835,0.341540271,0.081992835,0.043435264,0.056361385
