C1,C2,C3,C4,C5,C6,C7,C8,C9,C10
0.098997258,0.145319548,0.096455046,0.096455613,0.061872116,0.084345672,0.141760162,0.081884223,0.096455102,0.096455261
0.094375719,0.153479517,0.093890844,0.09389111,0.067271472,0.087310516,0.150997687,0.07100132,0.09389087,0.093890945
0.059769286,0.153468348,0.082519816,0.082520388,0.055705245,0.094233509,0.070941137,0.235802366,0.082519872,0.082520033
0.035446188,0.022612618,0.162297799,0.162296082,0.150652826,0.065505211,0.039553033,0.037041462,0.162297632,0.162297149
0.036372301,0.021773868,0.165052302,0.165050865,0.148843214,0.056063404,0.040087745,0.036652381,0.165052162,0.165051758
0.08433333,0.044571924,0.126178594,0.126177418,0.13867249,0.100708175,0.089929916,0.037071526,0.126178479,0.126178148
0.061729654,0.052713583,0.152499163,0.152500082,0.077880088,0.057739057,0.069748748,0.07019086,0.152499253,0.152499511
0.08168671,0.040455322,0.146586249,0.146585857,0.111688367,0.044587211,0.090960727,0.044277248,0.14658621,0.1465861
0.038598747,0.022385896,0.131448487,0.13144632,0.278397255,0.059836372,0.044960133,0.030030847,0.131448275,0.131447666
0.037136401,0.024226847,0.163356767,0.1633553,0.139524893,0.065071936,0.040973631,0.03964139,0.163356624,0.163356211
0.050409994,0.033303635,0.149164599,0.149163956,0.123634466,0.09591675,0.053770155,0.046307552,0.149164537,0.149164356
0.020806363,0.038903957,0.042536426,0.042536709,0.029800263,0.039591361,0.027290956,0.673460977,0.042536454,0.042536533
0.174633294,0.038086245,0.104947061,0.104946756,0.092594107,0.038496505,0.210026906,0.02637515,0.104947031,0.104946946
0.034625773,0.065096932,0.069431583,0.069431967,0.050029706,0.047613067,0.045117438,0.479790183,0.069431621,0.069431729
0.041361319,0.022147284,0.149697043,0.149695242,0.150361254,0.11406919,0.044729945,0.028545495,0.149696867,0.149696361
0.040716055,0.026464075,0.162260394,0.16225948,0.122126429,0.073837945,0.042625293,0.045189976,0.162260305,0.162260048
0.025368469,0.01285614,0.078581255,0.078579856,0.568458796,0.02956391,0.031581346,0.017848384,0.078581118,0.078580725
0.066808551,0.035469161,0.155444043,0.155443918,0.111148661,0.043432775,0.074791304,0.04657356,0.155444031,0.155443996
0.039948047,0.073755457,0.07781098,0.077811592,0.051255674,0.091911726,0.052264828,0.379619445,0.077811039,0.077811212
0.066317888,0.044895184,0.151179572,0.151181188,0.081794404,0.052585048,0.075216663,0.07447014,0.151179729,0.151180184
0.060674915,0.036311796,0.103198361,0.103197985,0.085992245,0.308985585,0.061145998,0.034096572,0.103198324,0.103198219
0.056548908,0.131321221,0.085235775,0.085236337,0.060540824,0.084588736,0.071262202,0.254794179,0.08523583,0.085235988
0.158480544,0.116953982,0.057002991,0.057003368,0.03696899,0.042719138,0.383190163,0.033674662,0.057003028,0.057003134
0.073035871,0.044660146,0.091307845,0.091307646,0.074308292,0.336026568,0.070418083,0.036319954,0.091307826,0.09130777
0.034792738,0.034302938,0.074831631,0.074832105,0.046489251,0.493053467,0.038772756,0.053261625,0.074831678,0.074831811
0.008559887,0.01626707,0.018018252,0.01801839,0.011928153,0.015719783,0.010973418,0.864478479,0.018018265,0.018018304
0.070756335,0.04871252,0.13412707,0.134128813,0.066108533,0.144930535,0.071433108,0.061548113,0.13412724,0.134127731
0.028415404,0.049351314,0.062789421,0.062789859,0.04200296,0.043957046,0.035831544,0.5492834,0.062789464,0.062789587
0.071017174,0.047322457,0.144980452,0.144982444,0.07269802,0.082116365,0.076410417,0.070510817,0.144980646,0.144981207
0.22406943,0.042810897,0.080769418,0.080769169,0.077546546,0.04691026,0.259887734,0.025697829,0.080769394,0.080769324
0.038609986,0.020925938,0.145463311,0.145461082,0.230577673,0.052852779,0.044635307,0.030548363,0.145463094,0.145462467
0.026955299,0.014064114,0.078152753,0.078151362,0.560094575,0.034234776,0.033747322,0.018294954,0.078152618,0.078152226
0.03574425,0.726539689,0.0266595,0.026659652,0.018476975,0.029381298,0.049681103,0.033538462,0.026659514,0.026659557
0.055860739,0.041815011,0.160289397,0.16029097,0.076698223,0.05513905,0.065247309,0.06407976,0.16028955,0.160289993
0.076186421,0.04553002,0.13070538,0.130706124,0.073531146,0.165831282,0.075612692,0.040485821,0.130705452,0.130705661
0.073041833,0.037592532,0.145576633,0.145575953,0.135353258,0.043322535,0.085376071,0.043008246,0.145576566,0.145576375
0.407392479,0.032478373,0.058077941,0.058077942,0.045282781,0.031937611,0.232245779,0.018351212,0.058077941,0.058077941
0.013779327,0.025299545,0.028098811,0.028099037,0.018959162,0.021593632,0.018687956,0.789284801,0.028098833,0.028098896
0.040821959,0.023479077,0.133671188,0.13366903,0.2609074,0.060881238,0.048179882,0.031048878,0.133670978,0.133670371
0.1571455,0.045074917,0.06751125,0.067511204,0.06234879,0.036700262,0.40280544,0.025880159,0.067511245,0.067511232
0.067695143,0.222614642,0.079270937,0.079271469,0.05368453,0.094639335,0.080608653,0.163673164,0.079270989,0.079271139
0.05138061,0.036668031,0.150778606,0.150778478,0.113222001,0.081996642,0.0526335,0.060984982,0.150778594,0.150778557
0.0654148,0.519427847,0.048642544,0.048642941,0.029903649,0.05168213,0.077186678,0.061814137,0.048642582,0.048642694
0.031605049,0.028613649,0.061632502,0.061632696,0.043049723,0.578620925,0.033255513,0.038324845,0.061632521,0.061632576
0.025980497,0.047102479,0.056026914,0.056027316,0.037472844,0.03909905,0.033352734,0.592884146,0.056026954,0.056027067
0.063883276,0.161019367,0.087715212,0.087715614,0.06501549,0.112332789,0.075866703,0.171020933,0.087715251,0.087715364
0.658926487,0.027425187,0.031362772,0.031362827,0.023399063,0.025834299,0.127107935,0.01185586,0.031362777,0.031362793
0.064409078,0.143315292,0.091174089,0.091174588,0.066562942,0.098049013,0.078256101,0.184710482,0.091174138,0.091174278
0.14093559,0.094528349,0.061016887,0.061016971,0.050697281,0.042996263,0.393359213,0.033415632,0.061016895,0.061016919
0.136616878,0.131951021,0.087625153,0.087625646,0.053104402,0.125559216,0.154234404,0.04803274,0.087625201,0.08762534
0.078175161,0.042971056,0.142607176,0.142606947,0.121178566,0.047661432,0.090524098,0.049061321,0.142607153,0.142607089
0.03693565,0.021364885,0.154452859,0.154450978,0.170726556,0.079124646,0.040319964,0.033719641,0.154452676,0.154452147
0.038762846,0.020703574,0.157781513,0.157779995,0.165230599,0.069634836,0.041511588,0.033032746,0.157781365,0.157780938
0.068340313,0.043078339,0.150051629,0.150053877,0.063729259,0.102483185,0.07054714,0.051611929,0.150051848,0.15005248
0.409979681,0.029236084,0.058151527,0.05815156,0.04391252,0.034839807,0.232357878,0.017067873,0.05815153,0.05815154
0.623276677,0.022863159,0.034451034,0.034451034,0.027088897,0.023971559,0.153875774,0.011119796,0.034451034,0.034451034
0.093259664,0.05033847,0.12189446,0.12189355,0.122366699,0.111465344,0.0967892,0.038204126,0.121894371,0.121894115
0.042829629,0.037508679,0.102974276,0.102974923,0.065415898,0.323465999,0.046888442,0.071993294,0.102974339,0.102974521
0.023774171,0.045067389,0.050914122,0.050914491,0.034240625,0.036541252,0.031823768,0.624895763,0.050914158,0.050914262
0.061428481,0.128271378,0.095566987,0.095567406,0.071150357,0.123691066,0.075286353,0.157903799,0.095567028,0.095567146
0.050238465,0.091068966,0.091747306,0.091747583,0.074248132,0.062454952,0.064831432,0.290168421,0.091747333,0.091747411
0.102586699,0.170662071,0.090427581,0.09042814,0.056264701,0.088755359,0.147192552,0.072827469,0.090427636,0.090427793
0.039356773,0.034622006,0.081041373,0.081041973,0.048496411,0.460343146,0.04231221,0.050703077,0.081041431,0.0810416
0.258906374,0.042457215,0.081412124,0.081411775,0.076477169,0.044436112,0.228860565,0.023214584,0.08141209,0.081411992
0.05499055,0.035291875,0.162864327,0.162865329,0.08452166,0.064181902,0.057061475,0.052493752,0.162864424,0.162864706
0.035902541,0.021873244,0.163203492,0.163201922,0.151034682,0.061787328,0.039788746,0.036801809,0.163203339,0.163202897
0.149393674,0.074992122,0.09906089,0.099060811,0.078725442,0.093295283,0.165249613,0.042100422,0.099060882,0.09906086
0.012620203,0.024495918,0.024623701,0.024623897,0.016482687,0.020612654,0.016550216,0.810743228,0.02462372,0.024623775
0.057298844,0.027234361,0.14054404,0.140542645,0.210571686,0.04316433,0.06555076,0.034005918,0.140543904,0.140543512
0.046522735,0.024422281,0.123232261,0.123230278,0.306467919,0.045958845,0.053656186,0.030045918,0.123232068,0.12323151
0.089452025,0.14855232,0.096631926,0.096632252,0.067942047,0.088441938,0.137212857,0.081870628,0.096631958,0.096632049
