C1,C2,C3,C4,C5,C6,C7,C8,C9
0.093737566,0.11294019,0.170512364,0.093737505,0.109379005,0.158750253,0.095613745,0.093785063,0.071544309
0.095788742,0.108045438,0.183598431,0.095788687,0.089181682,0.169084185,0.099268288,0.081629204,0.077615343
0.077453682,0.065859477,0.170122434,0.077453628,0.100733174,0.077530265,0.103049501,0.265076439,0.0627214
0.231624537,0.04038285,0.026171958,0.231625193,0.133755742,0.045678615,0.074372425,0.041998598,0.174390083
0.22415524,0.04270839,0.026011018,0.22415544,0.146195715,0.047850865,0.065504317,0.042854704,0.180564312
0.168849498,0.097402707,0.052401506,0.168849657,0.087810039,0.104690379,0.116695064,0.04280726,0.160493892
0.153244685,0.074174842,0.064184046,0.153244512,0.219950644,0.084413282,0.069217287,0.083827266,0.097743437
0.171862386,0.098835522,0.049270199,0.17186208,0.149727086,0.111580686,0.053635284,0.052989281,0.140237475
0.20742313,0.042114074,0.02477698,0.207423675,0.081726081,0.049715962,0.065007595,0.032579891,0.289232613
0.22554423,0.043143342,0.028633242,0.225544672,0.141363419,0.048316931,0.075288287,0.045874628,0.166291247
0.189334563,0.060132735,0.040289853,0.189334758,0.135778218,0.064791431,0.114327256,0.055315188,0.150695998
0.039138248,0.022268645,0.042175763,0.039138234,0.054088235,0.029019395,0.041801583,0.700203616,0.03216628
0.115953291,0.204352823,0.044506194,0.115953061,0.086351092,0.249018365,0.044285792,0.030280925,0.109298457
0.067836034,0.038748279,0.073126908,0.067835992,0.092661985,0.050208392,0.052801501,0.500193046,0.056587863
0.218402306,0.04772508,0.026066273,0.218403088,0.098763611,0.052380163,0.131958291,0.032914336,0.173386851
0.2109545,0.047630741,0.031421722,0.210954842,0.162779447,0.050615239,0.086039699,0.052648954,0.146954856
0.136042445,0.030689529,0.01577598,0.136042545,0.049395368,0.038793049,0.035525791,0.021442977,0.536292316
0.177090398,0.080944425,0.043272678,0.177090073,0.181487827,0.091919229,0.052291287,0.055830023,0.14007406
0.070627785,0.043205712,0.08137577,0.07062776,0.09805413,0.05610992,0.09783293,0.426080448,0.056085545
0.129009666,0.072446468,0.049598341,0.129009456,0.306653528,0.082783675,0.057164062,0.080930832,0.092403972
0.12210861,0.069584014,0.042990391,0.122108755,0.077500093,0.070892565,0.355799106,0.039522052,0.099494414
0.080632692,0.062584066,0.146590255,0.080632629,0.103336575,0.078166946,0.09281794,0.287209548,0.068029349
0.053060901,0.180371323,0.138611494,0.053060822,0.058212919,0.386813419,0.048471749,0.038580984,0.042816389
0.103745962,0.082453312,0.052050259,0.103746051,0.072043295,0.080176383,0.379313665,0.041538359,0.084932715
0.073758158,0.039794608,0.040473564,0.073758194,0.080966155,0.044540704,0.530467747,0.06221923,0.054021639
0.017668184,0.009947829,0.019117604,0.017668176,0.026654419,0.012686229,0.018044264,0.86416725,0.014046046
0.118254243,0.081310306,0.057301899,0.118254199,0.226330691,0.08266591,0.165898353,0.071710086,0.078274313
0.059828037,0.031681949,0.055342055,0.059828005,0.092245986,0.039808583,0.048546276,0.565172551,0.047546558
0.120760717,0.078605488,0.053222849,0.120760587,0.28929347,0.084943546,0.09059486,0.078669841,0.083148641
0.088984596,0.252007448,0.048583573,0.088984516,0.063700775,0.290314789,0.052290059,0.028613088,0.086521156
0.221312579,0.042705581,0.023505379,0.221313025,0.098007035,0.050157455,0.058142444,0.03353066,0.251325843
0.138532242,0.032928633,0.017436824,0.138532426,0.049482166,0.041781171,0.04157227,0.022213726,0.517520542
0.024905465,0.038815385,0.741645505,0.024905443,0.028095269,0.052314278,0.031862972,0.036993764,0.020461919
0.142354626,0.062368901,0.04730808,0.14235449,0.310981985,0.073347368,0.061273689,0.07116312,0.088847741
0.136015491,0.092169228,0.056464293,0.136015516,0.144751106,0.092310123,0.201358279,0.049485578,0.091430387
0.177266388,0.087674978,0.045444304,0.177266056,0.138354241,0.103936564,0.051635807,0.051085884,0.167335778
0.057600489,0.443931,0.035631077,0.057600406,0.047569478,0.253504275,0.034492753,0.019809537,0.049860985
0.025626518,0.015085927,0.02803683,0.025626499,0.039459608,0.020292039,0.023367837,0.80151744,0.020987302
0.208973116,0.044672374,0.026065587,0.208973642,0.083790362,0.053401474,0.066322974,0.033768819,0.274031652
0.070083922,0.177708592,0.051290875,0.070083821,0.055513755,0.436233052,0.040776623,0.028798052,0.069511307
0.07461212,0.074690179,0.246247861,0.074612063,0.092832035,0.087945353,0.103854102,0.184613633,0.060592653
0.176852036,0.060431377,0.043731083,0.176852108,0.175239277,0.062651222,0.096137877,0.071615541,0.136489481
0.043985998,0.071474393,0.540552485,0.043985955,0.058284858,0.082506895,0.056642652,0.068883652,0.033683112
0.064626797,0.036064655,0.033662986,0.064626846,0.060807984,0.038206247,0.607707471,0.044510538,0.049786476
0.053294511,0.029060082,0.053001236,0.053294479,0.082459828,0.037138584,0.043307923,0.605932877,0.04251048
