C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12
0.005690724,0.475750593,0.002250267,0.384404592,0.004661435,0.026207783,0.000392669,0.035916821,0.024760791,0.013954051,0.008899251,0.017111023
0.006884941,0.335712896,0.00252472,0.44936011,0.005869973,0.04280667,0.000406609,0.063435013,0.039336209,0.018368702,0.011510777,0.023783379
0.0032569,0.477173597,0.001309774,0.419581142,0.002908968,0.018259617,0.000212805,0.030317363,0.019418142,0.009535872,0.005792054,0.012233765
0.001870417,0.49559567,0.000703933,0.451351856,0.001546351,0.010163922,0.000117524,0.014846916,0.009631665,0.004921653,0.003018762,0.00623133
0.003647889,0.443599084,0.001402366,0.441975033,0.003234733,0.020773014,0.000228669,0.033518252,0.021324385,0.010505991,0.006262333,0.01352825
0.005843938,0.459356177,0.002452791,0.348929845,0.005897777,0.030633678,0.000398531,0.054708825,0.036747772,0.019349579,0.01082993,0.024851157
0.004168604,0.542072773,0.001798686,0.324158065,0.004142704,0.021269529,0.000293552,0.037696386,0.025577088,0.013628332,0.007800825,0.017393457
0.006345968,0.446174065,0.002716104,0.339825479,0.006456157,0.033239486,0.000437221,0.060634735,0.04153434,0.022062579,0.012127838,0.028446028
0.003529788,0.571925432,0.001441356,0.321902109,0.003367406,0.01790235,0.000238568,0.029681099,0.019896087,0.010548288,0.006164772,0.013402743
0.002401534,0.624630109,0.00092637,0.310978481,0.002086311,0.01183386,0.000158045,0.017058521,0.011638865,0.006431342,0.003816367,0.008040195
0.002582987,0.679408799,0.001058172,0.25005334,0.002389945,0.012160481,0.000179989,0.018519606,0.012904097,0.00732323,0.004292871,0.009126484
0.002799192,0.614751791,0.001134818,0.302570197,0.002590575,0.014098469,0.000189606,0.022748011,0.015387308,0.008349352,0.004836093,0.010544586
0.001675307,0.710239754,0.000652546,0.245527129,0.001487564,0.008100714,0.000112187,0.011825797,0.007960375,0.004334556,0.002671851,0.00541222
0.002850756,0.661436975,0.001160229,0.266929016,0.002461247,0.012855898,0.000202475,0.018645282,0.01283874,0.007199039,0.00456837,0.008851971
0.00390915,0.549491383,0.001531385,0.353667728,0.00325241,0.017906447,0.000269558,0.025016547,0.017150095,0.00975767,0.006085546,0.011962081
0.001426403,0.609363893,0.000548088,0.351541124,0.001206935,0.007256582,9.39E-05,0.01085591,0.007039183,0.003716242,0.002308157,0.004643617
0.00173565,0.670028891,0.000676515,0.284350139,0.001454551,0.008426053,0.000116849,0.012296139,0.008189912,0.004444668,0.00277091,0.005509722
0.002267796,0.495131242,0.000870689,0.434537546,0.002027158,0.01258479,0.000144469,0.020458144,0.013007497,0.006632527,0.003862027,0.008476114
0.004801916,0.560122454,0.001909361,0.328429542,0.00396043,0.02063842,0.000340487,0.027871951,0.019534518,0.011323586,0.007299653,0.013767682
0.003089213,0.621994148,0.001225841,0.302422301,0.002611689,0.013867537,0.000215796,0.01945166,0.013385213,0.007603322,0.004813169,0.00932011
0.002756297,0.610862828,0.001093024,0.318816049,0.002306741,0.012892446,0.000189657,0.018572434,0.012574044,0.006957762,0.004396826,0.008581892
0.002574153,0.670741665,0.001042944,0.264081842,0.00221361,0.011692026,0.000182466,0.0169506,0.011674173,0.006604619,0.004130106,0.008111795
0.001439117,0.713959382,0.000572041,0.246957542,0.001266229,0.007052545,9.80E-05,0.010574452,0.007073592,0.003849102,0.002357754,0.004800282
0.001218513,0.552312256,0.000460659,0.414237121,0.001009707,0.006429297,7.80E-05,0.009243857,0.006013493,0.003127076,0.00193955,0.003930488
0.002015127,0.613409679,0.000781704,0.3336159,0.001722132,0.009856682,0.000135112,0.014157291,0.009468821,0.005190762,0.003200668,0.006446122
0.004071051,0.372949368,0.001520843,0.497341811,0.003589067,0.024255257,0.000249602,0.037746533,0.023920501,0.012004183,0.006890622,0.015461162
0.00124059,0.612271586,0.000484372,0.351471127,0.001082657,0.006589588,8.16E-05,0.010167453,0.006635983,0.003489752,0.002081339,0.004403924
0.002119086,0.408080853,0.000792366,0.527352141,0.001803052,0.012115894,0.000130991,0.018622143,0.011829551,0.005990332,0.003507445,0.007656144
0.002319226,0.564991447,0.000896526,0.374071062,0.001920928,0.011472376,0.000155526,0.016707265,0.010889974,0.00573152,0.003726991,0.00711716
0.002204195,0.504257699,0.000843207,0.435716614,0.001856115,0.011385813,0.000144632,0.016739658,0.010761623,0.005563122,0.003565806,0.006961516
0.001282988,0.555100438,0.000486995,0.410539208,0.001038981,0.006580596,8.37E-05,0.009559109,0.006134784,0.003177068,0.002052727,0.003963385
0.001757813,0.524591467,0.000662206,0.429639268,0.001422841,0.008845911,0.000114791,0.012591148,0.008111863,0.004232474,0.002765492,0.005264726
0.001503149,0.523597772,0.000578305,0.435205746,0.00123359,0.007778325,9.87E-05,0.011595024,0.007401086,0.003802273,0.00245207,0.004753911
0.001353046,0.478854122,0.000522963,0.481067597,0.001176477,0.007359663,8.79E-05,0.011630738,0.007305278,0.003686518,0.002286476,0.004669246
