C1,C2,C3,C4,C5,C6,C7
0.279078928,0.000575427,0.034285844,0.018817272,0.646513038,0.009600559,0.011128932
0.567063638,0.000448204,0.041592995,0.019169722,0.351869173,0.009070289,0.010785981
0.393872288,0.000271848,0.022954624,0.011357707,0.560319793,0.00489861,0.00632513
0.277564434,0.000166711,0.01283222,0.006481384,0.696190175,0.003112072,0.003653003
0.480650999,0.000268333,0.023257703,0.011555259,0.472920615,0.005055809,0.006291282
0.418328468,0.000510592,0.042099782,0.023259579,0.494990351,0.008762654,0.012048573
0.333224693,0.000400262,0.031115263,0.017297249,0.602104889,0.006620252,0.009237392
0.415909168,0.000565055,0.047054142,0.026589438,0.486617673,0.009589804,0.013674721
0.319531507,0.000329717,0.024879832,0.013615554,0.628594053,0.005681415,0.007367921
0.215754543,0.000229359,0.015531984,0.008644813,0.751021364,0.00404077,0.004777167
0.200567546,0.000277206,0.017991572,0.010440701,0.760404104,0.004584626,0.005734246
0.273736931,0.000272494,0.020041492,0.011116972,0.684151766,0.004676267,0.006004078
0.165411263,0.00017455,0.011528552,0.006290255,0.810000142,0.003019746,0.003575491
0.175487352,0.00030801,0.018160939,0.010099391,0.785015764,0.00497554,0.005953004
0.226285467,0.00039473,0.023650102,0.013142276,0.722332558,0.006580905,0.007613961
0.161534502,0.000130453,0.009298244,0.004786143,0.819217977,0.002307801,0.00272488
0.151789452,0.000170938,0.011273038,0.005996561,0.824382015,0.002937813,0.003450184
0.400433213,0.000181486,0.015242458,0.007775772,0.568867021,0.00335024,0.00414981
0.222538889,0.000509163,0.027394433,0.015564942,0.716460615,0.008190441,0.009341517
0.181900153,0.000319284,0.018574476,0.010371814,0.777500714,0.00524022,0.00609334
0.183894842,0.000275195,0.01713235,0.009290481,0.779362096,0.004606041,0.005438994
0.164127943,0.00027521,0.016381059,0.009161417,0.800263051,0.004455766,0.005335554
0.135907102,0.000142361,0.009604218,0.005187167,0.843798185,0.002423317,0.002937649
0.157718172,0.000105398,0.007698124,0.003925595,0.826394329,0.001924744,0.002233638
0.173571958,0.000191774,0.012677008,0.006828479,0.799532327,0.003313866,0.003884588
0.559704676,0.00026996,0.024297624,0.012163959,0.391959582,0.005221021,0.006383178
0.171963395,0.000107875,0.008195123,0.004274645,0.811189118,0.00191687,0.002352973
0.439192768,0.000168955,0.014360977,0.007195636,0.531994051,0.003223648,0.003863965
