C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11
0.020619417,0.008192146,0.167592045,0.000334941,0.47147152,0.022741182,0.0041908,0.005139434,0.012607204,0.001939645,0.285171667
0.027078544,0.008991346,0.362182238,0.000290375,0.241851941,0.030898304,0.004450129,0.005248651,0.013759397,0.001823991,0.303425085
0.013715677,0.004589261,0.187977587,0.000154209,0.303940836,0.014280871,0.002234056,0.002510279,0.007299689,0.000959469,0.462338067
0.007686656,0.002695988,0.139339213,9.64E-05,0.410068774,0.008420206,0.001341838,0.001631057,0.004270385,0.000583585,0.42386592
0.013694549,0.004528446,0.214819111,0.000151087,0.245999011,0.014516422,0.002267059,0.002565573,0.007343832,0.000936989,0.493177921
0.024948282,0.008242602,0.191572803,0.000276327,0.243282655,0.024067044,0.004342834,0.004301911,0.014250965,0.001719536,0.48299504
0.017635552,0.005998804,0.145412543,0.000206061,0.271207842,0.016920594,0.003083042,0.003103234,0.010138926,0.001276176,0.525017226
0.029104235,0.00950102,0.197675278,0.000311348,0.247336403,0.02703108,0.00488362,0.004796465,0.016664065,0.001955587,0.4607409
0.012679056,0.004386428,0.124504177,0.000155348,0.24766009,0.012654657,0.002322702,0.002438457,0.007262957,0.000948549,0.584987579
0.009483669,0.003458223,0.109991831,0.000131655,0.39614896,0.00997387,0.001837127,0.00212173,0.005677871,0.000779879,0.460395184
0.010896424,0.004017093,0.099114236,0.000154809,0.357785822,0.010987381,0.002172494,0.002352117,0.006682259,0.000919326,0.504918039
0.010185905,0.003567848,0.107534684,0.000128125,0.262528535,0.010256192,0.001853521,0.002006076,0.005988805,0.000775222,0.595175087
0.007056855,0.002635576,0.084716129,0.000101984,0.388351828,0.007543364,0.001428183,0.001614466,0.004153763,0.000599584,0.501798269
0.011733871,0.004608845,0.102986271,0.000189079,0.520240064,0.012437194,0.002421736,0.002816034,0.007097062,0.0010944,0.334375444
0.01432468,0.005625549,0.13135766,0.000230698,0.523350501,0.015708001,0.002934517,0.003541112,0.008863143,0.001324872,0.292739268
0.005828642,0.00213549,0.089058156,8.01E-05,0.56980857,0.006490944,0.001088021,0.001291343,0.003359531,0.000472986,0.320386243
0.007240938,0.002721905,0.087550921,0.00010601,0.571580055,0.007904698,0.001392849,0.001669097,0.004275366,0.000620448,0.314937713
0.007353217,0.002458485,0.135658336,8.41E-05,0.224937809,0.007867234,0.001251644,0.001404165,0.004104735,0.000512895,0.614367364
0.016806494,0.006909942,0.132038459,0.000299422,0.508788311,0.018268014,0.003664398,0.00446211,0.010514755,0.001695867,0.296552229
0.011528243,0.004580228,0.106099767,0.000190288,0.562435851,0.012516552,0.002426257,0.002881306,0.007088659,0.001092188,0.28916066
0.010503013,0.004067357,0.105701223,0.000162298,0.57496013,0.011417276,0.002081435,0.002497387,0.006298048,0.000945204,0.281366629
0.0105986,0.004141829,0.096579929,0.000169302,0.55135225,0.011272195,0.002164906,0.002526672,0.006487238,0.000977834,0.313729244
0.006557873,0.002433281,0.079860996,9.31E-05,0.527003235,0.007035443,0.001271876,0.001450415,0.003872484,0.00054982,0.369871442
0.004705996,0.001696682,0.084142121,6.28E-05,0.609535272,0.00523732,0.000859538,0.001042468,0.002663942,0.000374993,0.289678877
0.007907958,0.002975791,0.098278257,0.000115913,0.568607827,0.008698867,0.001560242,0.001832928,0.0047178,0.000678055,0.304626362
