C1,C2,C3,C4,C5,C6,C7,C8,C9
0.000468645,0.005899491,0.54633464,0.00847127,0.032135231,0.028073725,0.007210828,0.016445127,0.354961043
0.000433875,0.0067197,0.350272112,0.00951836,0.047436611,0.039593879,0.007915142,0.019247302,0.518863019
0.000230757,0.003377807,0.505770234,0.004913006,0.02188793,0.020046291,0.003781665,0.010185484,0.429806826
0.000132692,0.001863746,0.561251098,0.002675973,0.011840102,0.010322239,0.00225867,0.005477378,0.404178102
0.000239891,0.003636484,0.451248327,0.00511696,0.023651092,0.02127226,0.004102532,0.01085762,0.479874836
0.0004494,0.007137134,0.486656459,0.009543483,0.040034961,0.039736818,0.007035345,0.021495281,0.387911118
0.000333236,0.005035039,0.57421861,0.006971936,0.027921939,0.027877463,0.005042176,0.015234156,0.337365443
0.000497199,0.00788756,0.47788086,0.010805231,0.04414582,0.04546993,0.007700258,0.0246799,0.380933241
0.000270062,0.004071177,0.598779511,0.005487529,0.022456187,0.021541476,0.004258311,0.01174178,0.331393966
0.000182856,0.002569382,0.676310542,0.003495456,0.01408901,0.012838818,0.002957487,0.007327733,0.280228715
0.000213513,0.003015788,0.715688327,0.004049854,0.015386623,0.014653875,0.00325248,0.00855659,0.23518295
0.000216768,0.003162842,0.64398027,0.004353586,0.017691302,0.016825944,0.003408197,0.009404738,0.300956354
0.000133812,0.001884172,0.751382985,0.002522045,0.010063119,0.00903725,0.002125944,0.005082749,0.217767924
0.000243241,0.00313116,0.716783927,0.004379936,0.016191872,0.014697997,0.003630231,0.008517475,0.232424161
0.000321733,0.004116299,0.622692788,0.005773369,0.022151304,0.019452565,0.004950323,0.011501195,0.309040424
0.000109537,0.001499264,0.699838672,0.002112575,0.009037368,0.00778113,0.001774607,0.004279037,0.273567809
0.000138379,0.001830271,0.738308666,0.002591138,0.01047758,0.009211524,0.002186394,0.005194503,0.230061545
0.000151963,0.002283479,0.509367157,0.003156463,0.014566092,0.01299754,0.002552737,0.006883249,0.44804132
0.000410338,0.005041863,0.627749638,0.007057879,0.025249301,0.022408059,0.006120908,0.013447229,0.292514785
0.000258827,0.003315643,0.690639284,0.004603984,0.01721189,0.015271057,0.00392631,0.008988181,0.255784823
0.000225218,0.002905738,0.685070656,0.004145506,0.016044667,0.014193199,0.003474778,0.008146181,0.265794057
0.000218874,0.002814229,0.729140162,0.003947865,0.014746887,0.013340261,0.003273388,0.007811179,0.224707154
0.000114398,0.001572897,0.772807926,0.00217537,0.008780598,0.007857879,0.001788193,0.00442958,0.200473159
9.14E-05,0.001260587,0.671867483,0.00178703,0.00776682,0.006678861,0.00152485,0.003612381,0.30541062
0.000159263,0.002157685,0.693848033,0.002980337,0.012133225,0.01059705,0.0025278,0.006034678,0.269561929
0.000254049,0.003923093,0.3756948,0.005433544,0.026531903,0.023071876,0.004449341,0.012054619,0.548586776
9.08E-05,0.001285488,0.694790708,0.001814599,0.007886672,0.00701328,0.00147318,0.003830657,0.281814646
0.000135802,0.00200312,0.42687457,0.002829738,0.013404426,0.011628815,0.002354244,0.006136967,0.534632318
0.000184843,0.002423795,0.647373898,0.003486772,0.014361056,0.012251248,0.002936716,0.006706896,0.310274776
0.000170687,0.002330477,0.587735907,0.003300218,0.014221834,0.012006344,0.002777416,0.006465216,0.370991901
0.000101863,0.001344082,0.684013914,0.001960243,0.008402653,0.007058543,0.001665483,0.003811702,0.291641516
0.000140785,0.001852928,0.641487289,0.002665489,0.011299327,0.009398619,0.002298828,0.005114089,0.325742646
0.000119499,0.001588393,0.647153527,0.002326751,0.010051201,0.008466674,0.001941228,0.004538725,0.323814002
0.000100635,0.001437872,0.568260611,0.002040469,0.009247941,0.007913665,0.001656927,0.004161687,0.405180192
0.000112216,0.001584436,0.409578786,0.002306018,0.010896119,0.008996183,0.00190421,0.004624014,0.559998017
0.000100884,0.001423015,0.786439714,0.001939183,0.007872149,0.007096881,0.001583929,0.003963471,0.189580775
0.000105494,0.001454856,0.733153682,0.00201346,0.008359824,0.007241407,0.001723485,0.004012098,0.241935693
7.19E-05,0.000964194,0.813735012,0.001388148,0.005762977,0.005045514,0.001145652,0.002771064,0.169115585
0.00016497,0.002292004,0.726281189,0.003154897,0.012457871,0.01131449,0.002553626,0.00635589,0.235425063
0.000141193,0.001988305,0.647532998,0.002898413,0.012511931,0.011351904,0.002253994,0.006043611,0.31527765
0.000363862,0.004474232,0.634504702,0.006327858,0.023214587,0.020307751,0.005562086,0.011964447,0.293280476
0.00026513,0.003805331,0.673836765,0.004834549,0.018344764,0.016738468,0.004103487,0.009725773,0.268345732
0.000354095,0.004571798,0.652685338,0.006055639,0.022047942,0.019339309,0.005357068,0.011432041,0.278156771
7.44E-05,0.000997054,0.838147657,0.001395718,0.005625919,0.004922136,0.00118543,0.002742445,0.144909219
8.49E-05,0.00113026,0.815326543,0.001595201,0.006464344,0.005627832,0.001341342,0.003125946,0.165303596
0.000108714,0.001432653,0.776241234,0.002042703,0.008271145,0.007197949,0.001724723,0.003988168,0.198992711
0.000158804,0.002320046,0.718361791,0.003009186,0.012103613,0.01094726,0.002501102,0.006202181,0.244396018
0.000120464,0.001689012,0.772807185,0.002276719,0.009142302,0.008232361,0.001886764,0.004677546,0.199167648
