C1,C2,C3,C4,C5,C6,C7,C8,C9,C10
0.332819202,0.144204331,0.089399367,0.018114655,0.004942499,0.158046816,0.046581422,0.117649334,0.076850107,0.011392267
0.616943574,0.029932618,0.052169636,0.005340344,0.001740339,0.054374294,0.030762804,0.186117788,0.017267114,0.00535149
0.355917552,0.069239126,0.126802946,0.013261731,0.004407368,0.12359342,0.055245749,0.198606497,0.040514599,0.012411012
0.092048242,0.315477784,0.086134622,0.014431266,0.003726179,0.360911516,0.017519667,0.039612384,0.064518856,0.005619485
0.040761403,0.177607875,0.025118786,0.030467613,0.005282668,0.049642813,0.016197941,0.023764525,0.624759035,0.006397341
0.375780597,0.09262848,0.13069267,0.010534715,0.003064021,0.221607776,0.027229123,0.09339089,0.038255338,0.00681639
0.239805815,0.178451923,0.10041188,0.012786023,0.003385625,0.306400065,0.025436908,0.072389468,0.054330801,0.006601492
0.789647264,0.021135175,0.041673209,0.002959651,0.000924357,0.05061948,0.012286896,0.068236567,0.010099639,0.002417762
0.299150874,0.045642366,0.303164978,0.00602133,0.001892345,0.221219391,0.018028644,0.08188884,0.018689933,0.0043013
0.090325024,0.023939398,0.030656993,0.00782555,0.003008283,0.030034963,0.56637005,0.210071741,0.019757558,0.01801044
0.227481072,0.028507692,0.064486573,0.00642464,0.0023377,0.052316807,0.058616948,0.533744736,0.017754422,0.00832941
0.082747982,0.26755274,0.077129951,0.01052269,0.002635498,0.463875373,0.013452375,0.032766566,0.045187731,0.004129093
0.071439044,0.124356117,0.04594578,0.191755869,0.032155314,0.067508858,0.054220955,0.055142056,0.325960766,0.031515242
0.130047746,0.16721762,0.060645201,0.058845999,0.01432057,0.096223224,0.086186644,0.093908617,0.263712811,0.028891568
0.091989219,0.156699178,0.048911761,0.078361183,0.015436081,0.078115168,0.058240845,0.065022372,0.383013652,0.024210541
0.068066437,0.075758377,0.09609589,0.005651094,0.001554736,0.695419515,0.009124423,0.02579158,0.019861066,0.002676882
0.109422332,0.014233533,0.039919057,0.003556881,0.001331382,0.0266267,0.037108191,0.753548278,0.009083762,0.005169885
0.198547945,0.067186902,0.334123115,0.009528685,0.003005343,0.249559171,0.02308133,0.079883573,0.02870194,0.006381995
0.131177246,0.266326188,0.056445939,0.033087571,0.007336296,0.112429035,0.042304197,0.068066355,0.269862284,0.01296489
