C1,C2,C3,C4,C5,C6
0.02402374,0.216349407,0.04016342,0.177148041,0.171514459,0.370800933
0.012166384,0.571593989,0.034190851,0.169331378,0.059354914,0.153362483
0.019952241,0.361766969,0.047577684,0.260984166,0.090820892,0.218898049
0.012081445,0.043457457,0.011054119,0.112716215,0.115065656,0.705625109
0.02703607,0.031549349,0.013880735,0.034919314,0.796362873,0.096251659
0.014784916,0.166062693,0.024243514,0.288820124,0.092558069,0.413530685
0.011939622,0.090035307,0.015868128,0.151260435,0.09866687,0.632229638
0.012515556,0.359431983,0.027511643,0.273514738,0.069083431,0.257942649
0.006936378,0.106892504,0.012339587,0.644350138,0.035926885,0.193554507
0.015472037,0.6367179,0.150341678,0.075558039,0.04957527,0.072335077
0.008303428,0.74485649,0.030537018,0.109432548,0.032634137,0.07423638
0.00539386,0.022289666,0.005159453,0.063784631,0.050551296,0.852821094
0.248234167,0.096350836,0.078286095,0.080517782,0.356892177,0.139718942
0.072006696,0.161020177,0.088963354,0.103204307,0.374141591,0.200663875
0.095955753,0.114632004,0.070477475,0.086446308,0.460782406,0.171706055
0.007757265,0.044539324,0.008837678,0.218811993,0.052547693,0.667506047
0.005994257,0.816653025,0.024740842,0.083888614,0.021398815,0.047324447
0.010992196,0.106715004,0.01734909,0.572758266,0.054527262,0.237658183
0.034573752,0.103304699,0.035188249,0.089011726,0.483468993,0.25445258
0.013553805,0.239704613,0.025853218,0.333016579,0.074540902,0.313330883
0.019950369,0.051835839,0.015369512,0.079014444,0.413272203,0.420557633
0.004687705,0.032174075,0.006170844,0.802546658,0.023006514,0.131414205
0.256741007,0.056699936,0.034424571,0.066553039,0.45539762,0.130183828
0.140730426,0.165801648,0.270212309,0.11697678,0.16829117,0.137987667
0.085408331,0.142733985,0.089023578,0.097164878,0.401515952,0.184153275
0.024491924,0.101390548,0.026111263,0.115776657,0.28978106,0.442448549
0.006589625,0.033986223,0.007141987,0.212972693,0.044604592,0.69470488
0.011373584,0.035615272,0.009311633,0.099797986,0.107998479,0.735903046
0.016018383,0.120526391,0.745308023,0.042422681,0.034854091,0.040870431
0.871234363,0.015070425,0.011066999,0.016899324,0.058582594,0.027146294
0.037650075,0.102486069,0.035410065,0.094810631,0.464305395,0.265337765
0.002569886,0.030190481,0.004488329,0.905836741,0.011121896,0.045792667
0.034461057,0.039209301,0.015125577,0.062739223,0.643117908,0.205346933
0.159015625,0.047840191,0.028346233,0.05254579,0.600665399,0.111586763
0.005080786,0.046923121,0.008280404,0.844965788,0.020229139,0.074520762
0.009655878,0.628668478,0.031792555,0.203327827,0.035819204,0.090736059
0.16684991,0.049207763,0.028271096,0.056200815,0.580912678,0.118557739
