C1,C2,C3,C4,C5,C6,C7
0.084986158,0.021354841,0.311128205,0.134055037,0.158272966,0.27298524,0.017217551
0.066758225,0.007375611,0.080668846,0.032689169,0.097019236,0.70656305,0.008925863
0.099254096,0.016061657,0.156440039,0.066969738,0.201786195,0.441440512,0.018047763
0.019972235,0.010929644,0.708634038,0.086827334,0.110807719,0.057262287,0.005566742
0.022553881,0.026209867,0.114440087,0.755968773,0.035938422,0.036814863,0.008074107
0.053325583,0.013543505,0.305582906,0.074605348,0.261014866,0.280888897,0.011038895
0.038222348,0.012374744,0.542503707,0.086572064,0.161944423,0.150061138,0.008321576
0.051291792,0.007953416,0.132824868,0.039128136,0.163825611,0.596987335,0.007988842
0.030119359,0.006708506,0.140666181,0.031018648,0.548312903,0.237258016,0.005916386
0.847951546,0.004342258,0.019304884,0.013275461,0.020669779,0.083134528,0.011321543
0.111387283,0.007871879,0.062394635,0.028620651,0.097522481,0.680317144,0.011885927
0.009602297,0.00487346,0.85144055,0.037996222,0.063048259,0.030494214,0.002544998
0.08441264,0.21080282,0.136226461,0.358553226,0.073331577,0.088918166,0.04775511
0.133806124,0.063353343,0.193254064,0.3285834,0.094124113,0.146026998,0.040851958
0.093019091,0.083436304,0.16903414,0.432257959,0.078948417,0.107325387,0.035978702
0.02193187,0.008983635,0.540942261,0.052712035,0.28517622,0.084751968,0.00550201
0.105502891,0.006573729,0.046215565,0.021880089,0.085244577,0.723548964,0.011034184
0.037100149,0.010446258,0.182591649,0.046639991,0.52931325,0.185287937,0.008620766
0.066430835,0.033277796,0.278799213,0.395409128,0.089097187,0.119196108,0.017789734
0.057620748,0.01117046,0.207780173,0.054688513,0.264365116,0.39424508,0.01012991
0.026567386,0.017975615,0.534065388,0.274967153,0.075578562,0.063118549,0.007727347
0.009306428,0.003314182,0.072769161,0.014588193,0.859264485,0.038380471,0.00237708
0.040447516,0.213430655,0.128542636,0.4825284,0.059679843,0.054837138,0.020533812
0.169486348,0.112922075,0.114224474,0.139684201,0.095290682,0.127333506,0.241058715
0.120396223,0.074601069,0.177917756,0.364463127,0.088483299,0.130761331,0.043377194
0.050480522,0.022538043,0.460166911,0.219016271,0.110937859,0.124328641,0.012531753
0.018050555,0.007968298,0.552872847,0.046700375,0.303055923,0.066625165,0.004726837
0.013567011,0.008481043,0.786082493,0.067461459,0.081920934,0.038578333,0.003908726
0.515334899,0.022050785,0.055180915,0.047233286,0.057774537,0.123279056,0.179146522
0.012215179,0.861456083,0.027215233,0.06064626,0.015856292,0.014843795,0.007767158
0.06515554,0.035683835,0.288199395,0.383050496,0.093667802,0.116359489,0.017883444
0.013827848,0.003427506,0.049327336,0.013480309,0.840243446,0.076574666,0.003118889
0.024813145,0.033326555,0.266577299,0.553422835,0.064949975,0.04801568,0.00889451
0.03094802,0.11842168,0.100771844,0.651074309,0.042490825,0.041700448,0.014592874
0.018249593,0.005111341,0.062898517,0.018629895,0.81102789,0.079610316,0.004472449
