C1,C2,C3,C4,C5,C6,C7,C8
0.132375691,0.248448991,0.072631924,0.016167276,0.221974049,0.015838928,0.080802226,0.211760915
0.102854877,0.109346126,0.065926069,0.006761853,0.623337881,0.009740636,0.025480096,0.056552463
0.186267364,0.183077082,0.086505593,0.012801345,0.370540772,0.017046161,0.045659274,0.098102408
0.098718688,0.430038432,0.020652437,0.009784967,0.055195734,0.006077207,0.051408991,0.328123545
0.040362934,0.082405546,0.02677757,0.024981493,0.042825795,0.009977515,0.459728303,0.312940843
0.201904181,0.358434043,0.043330214,0.009826977,0.201096919,0.009645856,0.042302651,0.133459159
0.128052563,0.438235474,0.033560174,0.009527931,0.12039033,0.007813447,0.048032785,0.214387296
0.162957627,0.203017808,0.050383747,0.00713328,0.46259367,0.008566411,0.028421852,0.076925605
0.436522634,0.288835508,0.025083189,0.005037498,0.164601407,0.005296486,0.018646304,0.055976975
0.025959003,0.025871218,0.774507815,0.00472143,0.12045479,0.014458748,0.013869556,0.020157439
0.088863201,0.072111127,0.090583295,0.006038835,0.674477432,0.010723481,0.01928924,0.037913389
0.084977067,0.552946402,0.015299541,0.006699209,0.044950405,0.004289165,0.034923715,0.255914497
0.052664646,0.078778389,0.062524967,0.122763274,0.065943485,0.035853295,0.435293497,0.146178447
0.076613864,0.125516661,0.111621322,0.044857113,0.123998399,0.035494236,0.262475502,0.219422905
0.059942287,0.098516078,0.07276445,0.053216422,0.08449058,0.029054085,0.401588328,0.20042777
0.110464075,0.740956727,0.010757966,0.003863005,0.037777378,0.002863311,0.016643207,0.07667433
0.070902122,0.047292183,0.074916073,0.004401598,0.756098005,0.008672097,0.013116624,0.024601297
0.422223312,0.295068624,0.029862949,0.007547043,0.133154799,0.007408783,0.027202028,0.077532462
0.072303875,0.151963664,0.05630692,0.023826154,0.099514668,0.015922983,0.209155728,0.371006009
0.21964104,0.290349764,0.049024365,0.008580036,0.292362749,0.009308854,0.033748651,0.096984541
