C1,C2,C3,C4,C5,C6,C7,C8,C9
0.174511093,0.058924805,0.107308276,0.272862418,0.008478677,0.146611277,0.026348823,0.013597734,0.191356897
0.570539386,0.066223003,0.103151733,0.074647554,0.004642068,0.050470416,0.012139967,0.010379374,0.1078065
0.340617206,0.080963158,0.173820861,0.106221079,0.008218897,0.08276222,0.020976203,0.016803998,0.169616377
0.054683656,0.020704203,0.096660021,0.115818978,0.006199009,0.288226849,0.020143335,0.006337809,0.391226141
0.035015931,0.022072689,0.033342962,0.513606643,0.011407058,0.253604612,0.057239715,0.008564191,0.0651462
0.18575418,0.04108642,0.187996033,0.117486586,0.006118613,0.109221543,0.017795008,0.009604032,0.324937585
0.111836815,0.031957213,0.119374817,0.167708,0.005773789,0.164324539,0.018451982,0.007789745,0.3727831
0.425444804,0.049271838,0.156430888,0.08534464,0.004679507,0.065182162,0.012744326,0.008805405,0.19209643
0.161142378,0.024610583,0.40847339,0.044683227,0.00330621,0.04847342,0.00891192,0.005413975,0.294984897
0.121165318,0.747635883,0.02666991,0.032233415,0.003465437,0.019010156,0.007754519,0.015907351,0.026158012
0.656981436,0.087893542,0.085038118,0.043746344,0.004079216,0.032967854,0.009604274,0.010864047,0.068825168
0.047101844,0.016235745,0.08785388,0.094579945,0.004439002,0.221990656,0.014915365,0.004735116,0.508148447
0.062469191,0.059199745,0.050443805,0.244688178,0.060414428,0.140575455,0.273654892,0.034928102,0.073626204
0.079699907,0.072029413,0.050177284,0.481496236,0.01792789,0.133631038,0.061585832,0.024144559,0.079307842
0.063260285,0.054617378,0.045598355,0.475614812,0.02284314,0.145805242,0.097033419,0.022801074,0.072426295
0.036649684,0.010528249,0.103913164,0.037850239,0.002428755,0.065630195,0.007412044,0.002912519,0.732675151
0.765947327,0.067170794,0.062783376,0.025432018,0.002747261,0.019763861,0.006303955,0.008070408,0.041781
0.127963783,0.028704968,0.397283304,0.056962015,0.004871486,0.067359673,0.013021876,0.007420174,0.296412722
0.009697534,0.005569882,0.007184986,0.923684735,0.001421803,0.031025398,0.005489857,0.001658101,0.014267704
0.273565003,0.047011706,0.205608862,0.091347445,0.005473258,0.08082349,0.015100635,0.009327345,0.271742255
0.033875587,0.015170928,0.039114342,0.270449916,0.005075408,0.501330393,0.020630231,0.004853134,0.109500063
0.041907215,0.011152079,0.54779984,0.023628109,0.002381343,0.03648193,0.006325641,0.003129067,0.327194776
0.040311602,0.030277517,0.042668908,0.156527345,0.052931936,0.179547124,0.412648323,0.016134972,0.068952274
0.10406345,0.136821044,0.076752429,0.132714647,0.07353704,0.098125193,0.10166549,0.19052362,0.085797088
0.073724497,0.067123317,0.04901141,0.477676201,0.021358412,0.133491047,0.075682555,0.026348887,0.075583674
0.068228643,0.02940756,0.059969587,0.422357901,0.006847378,0.234633411,0.025077624,0.008121045,0.145356851
0.012558642,0.003768272,0.044686812,0.013289947,0.000944751,0.026599509,0.002828996,0.001085457,0.894237614
0.045633843,0.01732371,0.088107206,0.10330136,0.005685974,0.332992244,0.019948665,0.005457892,0.381549106
0.112477078,0.470059322,0.050026846,0.061710518,0.013018024,0.040916104,0.023958714,0.17961416,0.048219234
0.017780207,0.014794269,0.018595921,0.046427078,0.097523864,0.049618648,0.719324236,0.009665414,0.026270364
0.038062876,0.021947222,0.030139508,0.685778077,0.006061201,0.128053831,0.023602215,0.006646746,0.059708323
0.033667392,0.006694128,0.873518525,0.009706963,0.001027783,0.01177106,0.002570094,0.001671778,0.059372276
0.028999429,0.015630146,0.037546305,0.15357063,0.009222398,0.617152507,0.047197465,0.006037147,0.084643975
0.039309545,0.029690881,0.038981182,0.217310241,0.037349763,0.196023238,0.360898104,0.014778239,0.065658807
0.036905134,0.008979783,0.846525261,0.012713021,0.001560622,0.016227479,0.003829238,0.002414819,0.070844643
0.695559853,0.054493277,0.112593285,0.029906867,0.003222609,0.02547875,0.007489278,0.008129243,0.063126839
0.037257722,0.027155388,0.038131483,0.195908722,0.034356996,0.190636301,0.399098103,0.01352353,0.063931755
0.159417716,0.115677154,0.069302549,0.366644698,0.01182745,0.114409684,0.035182695,0.0242247,0.103313354
0.203288317,0.549761519,0.052659804,0.055095098,0.006833796,0.035064115,0.014902679,0.03339859,0.048996082
0.013803175,0.012319128,0.014355133,0.027152848,0.775801221,0.028538445,0.100002979,0.00952713,0.018499941
0.052111785,0.034156803,0.055963761,0.270033373,0.026114386,0.322804439,0.122061589,0.015076595,0.101677269
0.026766552,0.013467573,0.02885856,0.351841201,0.005140988,0.47492866,0.022504878,0.004510485,0.071981103
0.31155024,0.197066071,0.082628011,0.167164312,0.009386264,0.079903165,0.024918774,0.024265523,0.10311764
0.101653935,0.717605289,0.035544589,0.033404342,0.005770169,0.023183782,0.011319952,0.039901241,0.031616701
0.398017936,0.076662292,0.111075392,0.140608101,0.006285097,0.082538281,0.017646567,0.012587563,0.15457877
0.138640461,0.449432915,0.059550721,0.074828676,0.014055988,0.04875169,0.027029661,0.129808119,0.05790177
0.057781912,0.850109448,0.017755157,0.01883383,0.002808859,0.012210002,0.005731169,0.018378174,0.016391449
0.092875903,0.121442227,0.074797366,0.103911282,0.104543993,0.086964251,0.099683536,0.236071843,0.079709598
0.270848909,0.078985484,0.102054628,0.230411745,0.007615936,0.110038212,0.022416773,0.014205524,0.163422788
0.083224623,0.312961475,0.040602889,0.051830795,0.013041268,0.03529403,0.022651518,0.400539187,0.039854216
0.04739093,0.012771971,0.408507244,0.029306236,0.002789193,0.046074466,0.007520211,0.003605611,0.442034136
0.240003508,0.030639923,0.471313397,0.037938793,0.003465791,0.038888451,0.008760844,0.006358454,0.162630839
0.013308189,0.011350373,0.013216996,0.038851499,0.051301026,0.037436914,0.808223626,0.007303479,0.019007899
0.656320677,0.109020384,0.084802673,0.036635184,0.004229309,0.028637709,0.009530107,0.013199892,0.057624065
0.038701992,0.024834767,0.046384605,0.181231147,0.027379323,0.352833891,0.231861523,0.011462737,0.085310014
0.10603295,0.017008661,0.564876038,0.029820542,0.00240981,0.034324656,0.006400533,0.003896358,0.235230453
0.077554305,0.175762201,0.043978362,0.053485873,0.016869251,0.038980291,0.02719043,0.52320309,0.042976198
0.665246595,0.091476575,0.070846874,0.049314381,0.004093722,0.033904277,0.010067354,0.011319796,0.063730424
0.04386056,0.016208934,0.093301964,0.088650336,0.005319145,0.287164241,0.018333336,0.005154046,0.442007439
0.43292069,0.03998993,0.210553531,0.05904595,0.003956211,0.051338174,0.010545331,0.007460581,0.184189601
0.231993172,0.042332612,0.197481131,0.09635541,0.005384713,0.088779583,0.015286219,0.008826742,0.313560418
0.089769292,0.126236716,0.069185368,0.097809141,0.084960901,0.079422162,0.087546418,0.291494417,0.073575586
0.266944712,0.043162093,0.199911848,0.089523138,0.005155823,0.081600699,0.014151434,0.008919404,0.290630849
0.266211769,0.375744877,0.063233023,0.109393572,0.008392437,0.055844112,0.020401177,0.029560339,0.071218694
0.045746079,0.010781421,0.669724079,0.020297169,0.001985401,0.028096154,0.005171478,0.002839466,0.215358753
0.079293894,0.151737223,0.051159887,0.058790913,0.024633913,0.045661616,0.035229662,0.50383072,0.049662172
0.260828055,0.048620607,0.42686932,0.044465747,0.005340583,0.046214498,0.012566726,0.010501401,0.144593061
0.063114859,0.048916634,0.039407743,0.605698431,0.010906368,0.112345244,0.03922785,0.014750552,0.06563232
0.196674031,0.043886927,0.408718239,0.056544975,0.006076113,0.061583464,0.014702957,0.010784752,0.201028541
0.03695816,0.010183885,0.194737285,0.028588462,0.002356601,0.048746324,0.006796692,0.002906313,0.668726279
0.059740144,0.029804887,0.084759601,0.169021033,0.013227978,0.396408845,0.044757941,0.010823868,0.191455703
0.130309228,0.133475862,0.091022388,0.215806617,0.036531096,0.135979272,0.08363882,0.057998667,0.115238051
0.138929223,0.040440014,0.35225088,0.067328998,0.007374214,0.085188877,0.018274055,0.011123659,0.279090081
0.048925205,0.029586662,0.045556561,0.44799987,0.011592606,0.268303036,0.045566535,0.010378559,0.092090965
0.404562772,0.054608233,0.146048141,0.102304192,0.005161179,0.072587076,0.014239491,0.009717511,0.190771405
0.023692463,0.012229963,0.036009574,0.089741648,0.007746953,0.705119789,0.03489541,0.004837608,0.085726593
0.207159172,0.051226649,0.404662387,0.055725225,0.006727453,0.060734895,0.015639831,0.012266824,0.185857564
0.109561997,0.413914192,0.051003244,0.089299603,0.017775377,0.053339505,0.034196595,0.175768354,0.055141132
0.019494668,0.006179001,0.063178347,0.023682864,0.001679262,0.05350669,0.005184946,0.001837892,0.825256332
0.046951016,0.009313029,0.845876719,0.012252738,0.001373797,0.014460732,0.003377534,0.002302769,0.064091666
0.048377875,0.012413248,0.355754126,0.029592352,0.002588339,0.045029867,0.007196559,0.003383112,0.495664523
0.506694351,0.237148408,0.080158424,0.04457506,0.005575322,0.033319936,0.012197788,0.020580942,0.05974977
0.351767417,0.095270272,0.10111,0.180517541,0.007438715,0.089177976,0.020873197,0.015628305,0.138216576
0.015997921,0.008326814,0.022225599,0.079247716,0.004907182,0.788425297,0.02391218,0.003205556,0.053751736
0.08278925,0.023835544,0.117013951,0.114409497,0.00483777,0.153434197,0.015415831,0.006195426,0.482068534
0.104314201,0.135674657,0.08519453,0.099862811,0.080256473,0.086633007,0.085599453,0.236381333,0.086083535
0.104422215,0.131669788,0.084679408,0.104868704,0.080513824,0.08973432,0.090112075,0.2270137,0.086985967
0.043963345,0.039837047,0.04252909,0.105486891,0.225325973,0.096478308,0.360080689,0.028983776,0.057314881
0.101724999,0.03591669,0.235816081,0.086052072,0.008669516,0.130307015,0.022920345,0.010655878,0.367937403
0.03519713,0.022354088,0.037818481,0.30517448,0.01677213,0.387333075,0.112021034,0.009449091,0.073880492
0.029657728,0.01012631,0.088548918,0.040990931,0.003042569,0.107491926,0.009501282,0.003132952,0.707507383
0.067445801,0.026683013,0.121846274,0.119800211,0.008400248,0.264121518,0.025990453,0.008547193,0.357165289
0.016080616,0.037081824,0.009337706,0.012921169,0.00451043,0.009138918,0.006981131,0.894452682,0.009495523
0.121551247,0.094861714,0.136542132,0.136788338,0.057721052,0.152365543,0.094134847,0.05431305,0.151722078
0.565180317,0.131642518,0.08300097,0.065452522,0.005527796,0.043407788,0.013486382,0.015911381,0.076390325
0.166178758,0.032551013,0.580700636,0.03401998,0.004080222,0.036945494,0.009675582,0.007529995,0.128318322
0.343903722,0.054230195,0.35202817,0.0446477,0.00521723,0.044292135,0.012241832,0.010898925,0.132540092
0.070401101,0.020770457,0.676551188,0.029385283,0.004192397,0.039408653,0.010015533,0.006106063,0.143169326
0.068625021,0.020140762,0.682946821,0.028638973,0.00405508,0.038448889,0.009703913,0.005900047,0.141540493
