C1,C2,C3
7.32E-01,1.03E-01,1.65E-01
5.16E-01,3.19E-01,1.64E-01
9.86E-01,1.08E-04,1.38E-02
9.07E-01,3.59E-02,5.70E-02
3.47E-01,5.54E-01,9.81E-02
7.86E-01,7.84E-03,2.06E-01
2.00E-01,4.31E-01,3.69E-01
1.20E-01,1.63E-01,7.18E-01
7.74E-01,1.01E-01,1.25E-01
9.79E-01,1.27E-02,8.30E-03
7.63E-02,3.25E-01,5.99E-01
2.85E-01,1.14E-01,6.02E-01
9.11E-01,3.45E-02,5.50E-02
3.85E-01,4.67E-01,1.47E-01
3.31E-01,7.48E-02,5.94E-01
2.90E-01,5.48E-01,1.62E-01
7.99E-01,3.07E-02,1.70E-01
8.87E-01,2.20E-03,1.11E-01
9.95E-01,3.04E-03,2.35E-03
1.06E-01,3.98E-01,4.96E-01
8.74E-01,1.11E-01,1.45E-02
6.95E-01,2.94E-01,1.11E-02
5.11E-01,7.21E-04,4.89E-01
2.46E-01,7.50E-01,3.95E-03
6.00E-01,8.14E-03,3.92E-01
6.66E-01,1.87E-01,1.47E-01
4.26E-01,3.05E-01,2.69E-01
8.57E-01,1.22E-01,2.15E-02
7.42E-01,2.30E-01,2.77E-02
1.24E-01,5.78E-01,2.98E-01
9.35E-01,2.28E-02,4.26E-02
4.46E-02,7.60E-01,1.96E-01
8.51E-01,1.43E-03,1.48E-01
9.58E-01,3.17E-02,1.07E-02
9.93E-01,5.62E-03,1.68E-03
4.02E-01,8.97E-02,5.09E-01
9.33E-01,3.19E-02,3.46E-02
6.72E-01,7.87E-02,2.49E-01
6.69E-01,3.18E-01,1.30E-02
8.05E-01,1.57E-01,3.78E-02
2.27E-01,6.65E-01,1.08E-01
9.26E-01,5.98E-02,1.41E-02
3.51E-01,2.93E-02,6.20E-01
4.01E-01,1.38E-01,4.62E-01
1.85E-01,1.91E-01,6.24E-01
6.99E-01,2.84E-01,1.71E-02
9.19E-01,1.44E-02,6.68E-02
4.63E-01,2.07E-01,3.30E-01
2.66E-01,5.66E-01,1.68E-01
7.45E-01,1.25E-01,1.31E-01
8.37E-01,5.23E-02,1.11E-01
7.85E-01,8.68E-02,1.28E-01
6.31E-01,1.81E-01,1.87E-01
5.91E-01,2.09E-01,2.00E-01
7.95E-01,1.88E-01,1.70E-02
2.68E-01,4.36E-01,2.97E-01
9.48E-01,4.10E-02,1.13E-02
8.71E-01,8.74E-02,4.13E-02
8.10E-01,2.36E-02,1.67E-01
5.34E-01,2.07E-02,4.45E-01
7.05E-01,1.08E-01,1.87E-01
8.47E-02,8.20E-01,9.50E-02
6.84E-01,5.84E-02,2.58E-01
4.02E-02,8.96E-01,6.37E-02
1.75E-01,8.67E-02,7.38E-01
2.74E-02,2.69E-01,7.03E-01
5.88E-01,4.73E-02,3.65E-01
9.36E-01,1.72E-02,4.63E-02
9.19E-01,2.17E-02,5.89E-02
7.08E-01,2.72E-01,1.94E-02
4.03E-01,1.49E-01,4.48E-01
3.32E-01,9.15E-02,5.76E-01
3.53E-01,3.83E-01,2.65E-01
1.60E-01,2.92E-01,5.48E-01
9.24E-01,4.36E-02,3.26E-02
3.24E-01,6.04E-01,7.23E-02
7.13E-01,2.07E-03,2.84E-01
8.97E-01,7.07E-02,3.21E-02
2.50E-01,1.67E-01,5.83E-01
2.49E-01,1.75E-01,5.76E-01
3.33E-01,4.97E-01,1.70E-01
9.84E-01,4.20E-03,1.22E-02
2.44E-01,6.72E-01,8.35E-02
2.99E-01,5.68E-02,6.44E-01
4.34E-01,2.00E-02,5.46E-01
7.60E-01,2.09E-01,3.06E-02
4.97E-01,4.96E-01,7.18E-03
1.16E-01,2.03E-01,6.81E-01
8.51E-01,5.18E-02,9.71E-02
2.61E-01,2.13E-01,5.26E-01
8.30E-01,1.66E-01,4.33E-03
1.32E-01,3.03E-01,5.65E-01
9.68E-01,3.22E-03,2.88E-02
4.66E-01,1.20E-01,4.14E-01
2.96E-01,6.44E-01,6.01E-02
4.89E-01,2.94E-01,2.17E-01
9.59E-01,3.72E-02,3.90E-03
7.98E-01,2.16E-02,1.81E-01
1.95E-01,6.25E-02,7.42E-01
2.49E-02,3.44E-01,6.31E-01
