C1,C2,C3,C4,C5,C6,C7
0.183464997,0.710022982,0.020603725,0.014175564,0.016546544,0.006404337,0.04878185
0.03081952,0.391376947,0.385791878,0.175998945,0.001254266,0.003740978,0.011017467
0.549782483,0.104726576,0.096092944,0.003106762,0.106561557,0.126110723,0.013618954
0.089827425,0.200961713,0.426763721,0.053823394,0.178133838,0.004260263,0.046229646
0.503727771,0.172119506,0.029098949,0.200412375,0.021509229,0.021887351,0.05124482
0.939426306,0.006109918,8.87475E-05,0.038314812,0.002696428,0.00712066,0.00624313
0.250706059,0.065977414,0.036165421,0.262588206,0.161999614,0.05090222,0.171661067
0.483917378,0.430504675,0.029910088,0.028027962,0.02641028,0.000327977,0.000901639
0.97081902,0.000278272,0.020863988,0.005815239,0.00185596,0.000173629,0.000193893
0.050589451,0.20112201,0.142802612,0.271610309,0.281639628,0.021617592,0.030618397
0.304108368,0.245348227,0.423586049,0.026940473,8.03724E-06,8.41161E-06,4.33851E-07
0.705578482,0.292575439,0.000201044,0.000349784,0.0002524,0.000754082,0.00028877
0.756689847,0.183294584,0.023085191,0.03284513,0.001761875,0.001037389,0.001285984
0.887776326,0.060604643,0.005800096,0.026736117,0.006585013,0.008268652,0.004229153
0.069617774,0.070193803,0.303742395,0.245863995,0.217665153,0.003668933,0.089247948
0.340799306,0.209900051,0.006575281,0.410303026,0.000641862,0.0120582,0.019722273
0.772145099,0.189484206,0.003326418,0.018871843,0.005089972,0.004429947,0.006652515
0.129058319,0.124411175,0.570530667,0.162713982,0.004548105,0.000431049,0.008306702
0.700683196,0.033580467,0.233283134,0.016901397,0.011342637,0.003926457,0.000282712
0.756288955,0.053114839,0.107039917,0.052420589,0.010180639,0.003651897,0.017303164
0.168852386,0.36051974,0.086914894,0.234889924,0.122923343,0.01302598,0.012873734
0.687669554,0.089031946,0.022402299,0.051639638,0.142710226,0.00500356,0.001542778
0.289933712,0.500140425,0.208941203,0.000749967,0.000213149,1.26439E-05,8.89991E-06
0.085369146,0.483351866,0.155267727,0.148486765,0.056824114,0.060363801,0.010336581
0.946382786,0.038423447,0.014578052,0.000357378,0.000153738,7.06539E-05,3.39462E-05
0.584660889,0.0907193,0.101269548,0.087353484,0.074517158,0.033326215,0.028153407
0.118393188,0.457318633,0.203378321,0.126292515,0.081331434,0.00868903,0.004596881
0.735964354,0.204759965,0.034469728,0.01879284,0.000212401,0.000688431,0.00511228
0.642088083,0.335512713,0.01536662,0.000183261,0.005086832,0.001703551,5.89404E-05
0.336382487,0.089006126,0.009350943,0.229149835,0.213652757,0.089581303,0.032876549
0.380737515,0.576007474,0.036161183,0.00058689,2.93007E-05,0.00210806,0.004369577
0.980539702,0.0092694,0.003647283,0.003136731,0.003079297,0.000203593,0.000123994
0.40723702,0.415026193,0.039029198,0.100353705,0.031452586,0.004159117,0.002742182
0.855339597,0.089586605,0.030283318,0.018065619,0.000721513,0.001626486,0.004376862
0.219383696,0.229942874,0.020689521,0.072405291,0.035759942,0.129428536,0.29239014
