C1,C2
3.59E-01,6.41E-01
4.11E-01,5.89E-01
9.88E-01,1.17E-02
6.88E-01,3.12E-01
2.40E-01,7.60E-01
5.28E-01,4.72E-01
4.70E-01,5.30E-01
5.80E-01,4.20E-01
8.92E-02,9.11E-01
2.20E-01,7.80E-01
5.58E-01,4.42E-01
2.92E-01,7.08E-01
2.10E-01,7.90E-01
7.22E-01,2.78E-01
8.53E-01,1.47E-01
1.92E-01,8.08E-01
9.32E-01,6.79E-02
2.81E-01,7.19E-01
5.96E-01,4.04E-01
6.23E-04,9.99E-01
2.40E-01,7.60E-01
9.51E-01,4.87E-02
7.61E-01,2.39E-01
9.93E-01,6.79E-03
7.29E-01,2.71E-01
7.81E-01,2.19E-01
9.32E-01,6.76E-02
1.94E-01,8.06E-01
9.29E-02,9.07E-01
8.06E-02,9.19E-01
3.88E-01,6.12E-01
2.22E-01,7.78E-01
1.03E-01,8.97E-01
1.94E-01,8.06E-01
8.26E-01,1.74E-01
8.90E-03,9.91E-01
8.06E-01,1.94E-01
5.06E-01,4.94E-01
3.05E-01,6.95E-01
4.21E-01,5.79E-01
4.83E-01,5.17E-01
4.25E-01,5.75E-01
9.70E-01,2.99E-02
9.95E-01,5.16E-03
9.68E-01,3.24E-02
3.09E-01,6.91E-01
8.72E-01,1.28E-01
7.73E-01,2.27E-01
2.15E-01,7.85E-01
5.83E-02,9.42E-01
8.19E-01,1.81E-01
5.14E-01,4.86E-01
4.15E-01,5.85E-01
5.68E-01,4.32E-01
4.15E-01,5.85E-01
4.86E-01,5.14E-01
1.22E-02,9.88E-01
3.43E-01,6.57E-01
8.56E-01,1.44E-01
3.94E-01,6.06E-01
1.47E-01,8.53E-01
1.26E-02,9.87E-01
7.23E-01,2.77E-01
6.08E-01,3.92E-01
3.86E-01,6.14E-01
6.71E-01,3.29E-01
6.81E-02,9.32E-01
1.84E-02,9.82E-01
2.03E-01,7.97E-01
1.55E-01,8.45E-01
8.92E-02,9.11E-01
4.96E-01,5.04E-01
6.38E-01,3.62E-01
6.04E-01,3.96E-01
4.79E-01,5.21E-01
2.32E-01,7.68E-01
5.91E-01,4.09E-01
1.90E-01,8.10E-01
9.96E-01,3.95E-03
8.35E-01,1.65E-01
7.93E-02,9.21E-01
2.77E-01,7.23E-01
7.31E-01,2.69E-01
9.19E-01,8.06E-02
1.50E-01,8.50E-01
4.79E-01,5.21E-01
8.28E-01,1.72E-01
5.35E-01,4.65E-01
9.73E-01,2.74E-02
7.11E-01,2.89E-01
5.33E-02,9.47E-01
8.10E-01,1.90E-01
3.18E-01,6.82E-01
5.17E-01,4.83E-01
6.33E-01,3.67E-01
8.47E-01,1.53E-01
5.29E-01,4.71E-01
7.23E-01,2.77E-01
9.28E-01,7.15E-02
2.19E-01,7.81E-01
1.64E-01,8.36E-01
7.94E-01,2.06E-01
4.47E-01,5.53E-01
1.02E-01,8.98E-01
4.96E-01,5.04E-01
2.94E-01,7.06E-01
6.20E-01,3.80E-01
4.83E-02,9.52E-01
1.70E-01,8.30E-01
6.13E-01,3.87E-01
5.85E-01,4.15E-01
1.61E-02,9.84E-01
2.02E-01,7.98E-01
2.16E-01,7.84E-01
6.47E-01,3.53E-01
5.31E-02,9.47E-01
6.46E-01,3.54E-01
7.53E-01,2.47E-01
1.31E-01,8.69E-01
9.51E-01,4.88E-02
5.89E-02,9.41E-01
1.79E-01,8.21E-01
5.74E-01,4.26E-01
1.32E-02,9.87E-01
4.86E-01,5.14E-01
1.82E-03,9.98E-01
7.99E-01,2.01E-01
3.51E-01,6.49E-01
1.68E-01,8.32E-01
9.02E-01,9.80E-02
7.13E-01,2.87E-01
5.68E-01,4.32E-01
2.92E-01,7.08E-01
5.10E-02,9.49E-01
4.26E-01,5.74E-01
9.11E-01,8.91E-02
2.84E-02,9.72E-01
3.73E-01,6.27E-01
3.51E-01,6.49E-01
4.88E-02,9.51E-01
6.73E-01,3.27E-01
3.20E-01,6.80E-01
3.32E-01,6.68E-01
2.25E-01,7.75E-01
3.63E-02,9.64E-01
3.12E-01,6.88E-01
7.53E-01,2.47E-01
3.81E-02,9.62E-01
8.02E-01,1.98E-01
7.86E-01,2.14E-01
6.60E-01,3.40E-01
1.57E-02,9.84E-01
1.85E-01,8.15E-01
4.37E-01,5.63E-01
3.22E-01,6.78E-01
8.47E-01,1.53E-01
4.12E-01,5.88E-01
2.33E-02,9.77E-01
4.47E-01,5.53E-01
8.71E-01,1.29E-01
4.24E-01,5.76E-01
5.96E-01,4.04E-01
9.56E-01,4.42E-02
9.25E-01,7.53E-02
2.17E-02,9.78E-01
3.67E-02,9.63E-01
4.48E-01,5.52E-01
7.39E-01,2.61E-01
8.87E-01,1.13E-01
4.36E-01,5.64E-01
4.58E-01,5.42E-01
8.07E-01,1.93E-01
1.05E-01,8.95E-01
3.85E-01,6.15E-01
1.30E-01,8.70E-01
5.01E-01,4.99E-01
7.41E-01,2.59E-01
9.99E-01,9.50E-04
